,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,2b048793-8e8c-4ec2-8b13-0f14a30eb8b9,1,17,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_0.1_0stage,BERT_small,0,SyntaxDataModule,False,-1.0,17,1.0,0.05416864529252052,86.0,True,BERT_small,64,0.01,0.1,0,,,,,
1,2b048793-8e8c-4ec2-8b13-0f14a30eb8b9,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_0.1_0stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,0.1,0,validate,0.8191894,0.975,12780168.0,12845056.0
2,2b048793-8e8c-4ec2-8b13-0f14a30eb8b9,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_0.1_0stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,0.1,0,validate,0.7463872,0.9,12780168.0,12845056.0
3,2b048793-8e8c-4ec2-8b13-0f14a30eb8b9,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_0.1_0stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.01,0.1,0,validate,1.5995625,0.24,12780168.0,12845056.0
4,2b048793-8e8c-4ec2-8b13-0f14a30eb8b9,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_0.1_0stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.01,0.1,0,validate,1.1405698,0.92,12780168.0,12845056.0
5,2b048793-8e8c-4ec2-8b13-0f14a30eb8b9,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_0.1_0stage,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.01,0.1,0,validate,0.45542195,1.0,12780168.0,12845056.0
6,2b048793-8e8c-4ec2-8b13-0f14a30eb8b9,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_0.1_0stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,0.1,0,validate,0.81955504,0.975,12780168.0,12845056.0
7,2b048793-8e8c-4ec2-8b13-0f14a30eb8b9,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_0.1_0stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,0.1,0,validate,0.7387311,0.905,12780168.0,12845056.0
8,2b048793-8e8c-4ec2-8b13-0f14a30eb8b9,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_0.1_0stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.01,0.1,0,validate,1.598623,0.24,12780168.0,12845056.0
9,2b048793-8e8c-4ec2-8b13-0f14a30eb8b9,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/5e44304a-41f3-4770-997a-b4252005b92d/17/T17_0.1_0stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.01,0.1,0,validate,1.1424948,0.915,12780168.0,12845056.0
