,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,1,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,False,-1.0,16,1.0,0.05369684100151062,81.0,True,BERT_small,64,0.01,0.0,3,,,,,
1,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,0.0,3,validate,0.0548456,1.0,3393349.0,3407872.0
2,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,0.0,3,validate,2.0670257,0.67,3393349.0,3407872.0
3,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.01,0.0,3,validate,2.2911222,0.26,3393349.0,3407872.0
4,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.01,0.0,3,validate,0.055058308,1.0,3393349.0,3407872.0
5,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.01,0.0,3,validate,0.05461029,1.0,3393349.0,3407872.0
6,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,0.0,3,validate,0.05489446,1.0,3393349.0,3407872.0
7,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,0.0,3,validate,2.0663908,0.67,3393349.0,3407872.0
8,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.01,0.0,3,validate,2.2909324,0.26,3393349.0,3407872.0
9,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.01,0.0,3,validate,0.05512536,1.0,3393349.0,3407872.0
10,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.01,0.0,3,validate,0.054639045,1.0,3393349.0,3407872.0
11,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,0.0,3,validate,0.7532276,0.73,14523.0,3407872.0
12,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,0.0,3,validate,0.05355161,1.0,14523.0,3407872.0
13,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.01,0.0,3,validate,2.0996337,0.205,14523.0,3407872.0
14,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.01,0.0,3,validate,1.3862588,0.485,14523.0,3407872.0
15,ccd1f54d-6df4-4243-8b2d-a8d3b5d9bba3,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.01,0.0,3,validate,0.0535465,1.0,14523.0,3407872.0
16,7097744e-321a-419d-a97c-fc2c505571b8,1,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,False,-1.0,16,1.0,0.05700401961803436,90.0,True,BERT_small,64,0.0001,0.0,3,,,,,
17,7097744e-321a-419d-a97c-fc2c505571b8,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.0001,0.0,3,validate,0.067420304,1.0,3065939.0,3407872.0
18,7097744e-321a-419d-a97c-fc2c505571b8,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.0001,0.0,3,validate,2.0457356,0.275,3065939.0,3407872.0
19,7097744e-321a-419d-a97c-fc2c505571b8,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.0001,0.0,3,validate,2.1404397,0.595,3065939.0,3407872.0
20,7097744e-321a-419d-a97c-fc2c505571b8,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.0001,0.0,3,validate,0.06291024,1.0,3065939.0,3407872.0
21,7097744e-321a-419d-a97c-fc2c505571b8,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.0001,0.0,3,validate,0.072396964,1.0,3065939.0,3407872.0
22,7097744e-321a-419d-a97c-fc2c505571b8,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.0001,0.0,3,validate,0.06783555,1.0,3065939.0,3407872.0
23,7097744e-321a-419d-a97c-fc2c505571b8,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.0001,0.0,3,validate,2.0441694,0.275,3065939.0,3407872.0
24,7097744e-321a-419d-a97c-fc2c505571b8,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.0001,0.0,3,validate,2.1369066,0.595,3065939.0,3407872.0
25,7097744e-321a-419d-a97c-fc2c505571b8,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.0001,0.0,3,validate,0.06323587,1.0,3065939.0,3407872.0
26,7097744e-321a-419d-a97c-fc2c505571b8,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.0001,0.0,3,validate,0.07291102,1.0,3065939.0,3407872.0
27,7097744e-321a-419d-a97c-fc2c505571b8,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.0001,0.0,3,validate,0.7528,1.0,341933.0,3407872.0
28,7097744e-321a-419d-a97c-fc2c505571b8,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.0001,0.0,3,validate,0.05358468,1.0,341933.0,3407872.0
29,7097744e-321a-419d-a97c-fc2c505571b8,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.0001,0.0,3,validate,2.0987525,0.665,341933.0,3407872.0
30,7097744e-321a-419d-a97c-fc2c505571b8,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.0001,0.0,3,validate,1.385437,1.0,341933.0,3407872.0
31,7097744e-321a-419d-a97c-fc2c505571b8,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/16/T16_0.0_3stage,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.0001,0.0,3,validate,0.053565875,1.0,341933.0,3407872.0
