,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,11530871-8305-42c2-9c9d-f776910babbe,1,17,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,False,-1.0,17,1.0,0.05469129607081413,76.0,True,BERT_small,64,0.01,-0.05,0,,,,,
1,11530871-8305-42c2-9c9d-f776910babbe,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,-0.05,0,validate,0.11121225,1.0,12730353.0,12845056.0
2,11530871-8305-42c2-9c9d-f776910babbe,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,-0.05,0,validate,1.9511822,0.64,12730353.0,12845056.0
3,11530871-8305-42c2-9c9d-f776910babbe,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.01,-0.05,0,validate,2.2894986,0.26,12730353.0,12845056.0
4,11530871-8305-42c2-9c9d-f776910babbe,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.01,-0.05,0,validate,0.12659317,1.0,12730353.0,12845056.0
5,11530871-8305-42c2-9c9d-f776910babbe,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.01,-0.05,0,validate,0.055116188,1.0,12730353.0,12845056.0
6,11530871-8305-42c2-9c9d-f776910babbe,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,-0.05,0,validate,0.110367104,1.0,12730353.0,12845056.0
7,11530871-8305-42c2-9c9d-f776910babbe,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,-0.05,0,validate,1.946695,0.64,12730353.0,12845056.0
8,11530871-8305-42c2-9c9d-f776910babbe,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.01,-0.05,0,validate,2.288519,0.26,12730353.0,12845056.0
9,11530871-8305-42c2-9c9d-f776910babbe,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Parameters/88284354-139d-4bf9-a7f6-bd3e682d45ba/17/T17_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.01,-0.05,0,validate,0.123168364,1.0,12730353.0,12845056.0
