,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,91609c34-74d6-455f-bdb1-75f4fe0447e2,1,17,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Training/f95afa4c-9a40-4eae-a6c4-33d19462acf1_T17,BERT_small,0,SyntaxDataModule,False,-1.0,17,1.0,0.11057870835065842,90.0,True,BERT_small,64,0.0001,0.05,0,,,,,
1,91609c34-74d6-455f-bdb1-75f4fe0447e2,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Training/f95afa4c-9a40-4eae-a6c4-33d19462acf1_T17,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.0001,0.05,0,test,0.8228754,0.555,7803168.0,12845056.0
2,91609c34-74d6-455f-bdb1-75f4fe0447e2,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Training/f95afa4c-9a40-4eae-a6c4-33d19462acf1_T17,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.0001,0.05,0,test,0.24807428,1.0,7803168.0,12845056.0
3,91609c34-74d6-455f-bdb1-75f4fe0447e2,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Training/f95afa4c-9a40-4eae-a6c4-33d19462acf1_T17,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.0001,0.05,0,test,1.7057931,0.195,7803168.0,12845056.0
4,91609c34-74d6-455f-bdb1-75f4fe0447e2,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Training/f95afa4c-9a40-4eae-a6c4-33d19462acf1_T17,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.0001,0.05,0,test,1.3862944,0.205,7803168.0,12845056.0
5,91609c34-74d6-455f-bdb1-75f4fe0447e2,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Training/f95afa4c-9a40-4eae-a6c4-33d19462acf1_T17,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.0001,0.05,0,test,0.24807431,1.0,7803168.0,12845056.0
6,91609c34-74d6-455f-bdb1-75f4fe0447e2,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Training/f95afa4c-9a40-4eae-a6c4-33d19462acf1_T17,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.0001,0.05,0,test,0.81874144,0.625,7803168.0,12845056.0
7,91609c34-74d6-455f-bdb1-75f4fe0447e2,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Training/f95afa4c-9a40-4eae-a6c4-33d19462acf1_T17,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.0001,0.05,0,test,0.2397204,1.0,7803168.0,12845056.0
8,91609c34-74d6-455f-bdb1-75f4fe0447e2,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Training/f95afa4c-9a40-4eae-a6c4-33d19462acf1_T17,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.0001,0.05,0,test,1.716416,0.28,7803168.0,12845056.0
9,91609c34-74d6-455f-bdb1-75f4fe0447e2,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Mask_Training/f95afa4c-9a40-4eae-a6c4-33d19462acf1_T17,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.0001,0.05,0,test,1.3862944,0.32,7803168.0,12845056.0
