,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,0abdd29d-740e-4397-9c4e-41c04c3ffe08,1,17,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Random_Training/5e44304a-41f3-4770-997a-b4252005b92d_T17,BERT_small,0,SyntaxDataModule,False,-1.0,17,1.0,0.055023811757564545,90.0,True,BERT_small,64,0.0001,-0.05,0,,,,,
1,0abdd29d-740e-4397-9c4e-41c04c3ffe08,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Random_Training/5e44304a-41f3-4770-997a-b4252005b92d_T17,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.0001,-0.05,0,test,1.2641793,0.715,12706376.0,12845056.0
2,0abdd29d-740e-4397-9c4e-41c04c3ffe08,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Random_Training/5e44304a-41f3-4770-997a-b4252005b92d_T17,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.0001,-0.05,0,test,1.3710462,0.385,12706376.0,12845056.0
3,0abdd29d-740e-4397-9c4e-41c04c3ffe08,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Random_Training/5e44304a-41f3-4770-997a-b4252005b92d_T17,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.0001,-0.05,0,test,1.1057675,1.0,12706376.0,12845056.0
4,0abdd29d-740e-4397-9c4e-41c04c3ffe08,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Random_Training/5e44304a-41f3-4770-997a-b4252005b92d_T17,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.0001,-0.05,0,test,1.1460165,1.0,12706376.0,12845056.0
5,0abdd29d-740e-4397-9c4e-41c04c3ffe08,0,17,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Random_Training/5e44304a-41f3-4770-997a-b4252005b92d_T17,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.0001,-0.05,0,test,1.3836423,0.435,12706376.0,12845056.0
6,0abdd29d-740e-4397-9c4e-41c04c3ffe08,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Random_Training/5e44304a-41f3-4770-997a-b4252005b92d_T17,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.0001,-0.05,0,test,1.2623183,0.675,12706376.0,12845056.0
7,0abdd29d-740e-4397-9c4e-41c04c3ffe08,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Random_Training/5e44304a-41f3-4770-997a-b4252005b92d_T17,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.0001,-0.05,0,test,1.3711727,0.365,12706376.0,12845056.0
8,0abdd29d-740e-4397-9c4e-41c04c3ffe08,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Random_Training/5e44304a-41f3-4770-997a-b4252005b92d_T17,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.0001,-0.05,0,test,1.1012459,1.0,12706376.0,12845056.0
9,0abdd29d-740e-4397-9c4e-41c04c3ffe08,0,17,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small/Random_Training/5e44304a-41f3-4770-997a-b4252005b92d_T17,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.0001,-0.05,0,test,1.1430229,1.0,12706376.0,12845056.0
