,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,d4954572-87eb-4058-9c90-ea530c4d6e03,1,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,False,-1.0,16,1.0,0.05429127812385559,90.0,True,BERT_small,64,0.01,0.05,2,,,,,
1,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,0.05,2,validate,1.3855026,0.965,6530380.0,6553600.0
2,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,0.05,2,validate,1.3851907,0.975,6530380.0,6553600.0
3,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.01,0.05,2,validate,1.386269,0.275,6530380.0,6553600.0
4,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.01,0.05,2,validate,1.3860074,0.955,6530380.0,6553600.0
5,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.01,0.05,2,validate,1.3849717,0.975,6530380.0,6553600.0
6,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,0.05,2,validate,1.3854582,0.98,6530380.0,6553600.0
7,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,0.05,2,validate,1.3850476,0.98,6530380.0,6553600.0
8,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.01,0.05,2,validate,1.3863297,0.255,6530380.0,6553600.0
9,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.01,0.05,2,validate,1.3860692,0.955,6530380.0,6553600.0
10,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.01,0.05,2,validate,1.3848181,1.0,6530380.0,6553600.0
11,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,0.05,2,validate,0.75347364,0.95,23220.0,6553600.0
12,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,0.05,2,validate,0.054059077,1.0,23220.0,6553600.0
13,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.01,0.05,2,validate,2.0964918,0.385,23220.0,6553600.0
14,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.01,0.05,2,validate,1.386278,0.86,23220.0,6553600.0
15,d4954572-87eb-4058-9c90-ea530c4d6e03,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.01,0.05,2,validate,0.054059066,1.0,23220.0,6553600.0
16,fd370aa5-81f2-4998-b3cf-ababd7753029,1,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,False,-1.0,16,1.0,0.08042773604393005,90.0,True,BERT_small,64,0.0001,0.05,2,,,,,
17,fd370aa5-81f2-4998-b3cf-ababd7753029,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3860794,0.945,4074968.0,6553600.0
18,fd370aa5-81f2-4998-b3cf-ababd7753029,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Mask_Parameters/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d/16/T16_0.05_2stage,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3859024,1.0,4074968.0,6553600.0
