,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,fd77fa8a-5555-4c9a-8520-811c46f956c3,1,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,False,-1.0,16,1.0,0.05541711673140526,81.0,True,BERT_small,64,0.01,0.05,0,,,,,
1,fd77fa8a-5555-4c9a-8520-811c46f956c3,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,0.05,0,test,1.3527852,0.66,12655297.0,12845056.0
2,fd77fa8a-5555-4c9a-8520-811c46f956c3,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,0.05,0,test,1.317487,1.0,12655297.0,12845056.0
3,fd77fa8a-5555-4c9a-8520-811c46f956c3,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.01,0.05,0,test,1.3836108,0.275,12655297.0,12845056.0
4,fd77fa8a-5555-4c9a-8520-811c46f956c3,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.01,0.05,0,test,1.3864675,0.21,12655297.0,12845056.0
5,fd77fa8a-5555-4c9a-8520-811c46f956c3,0,16,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.01,0.05,0,test,1.3227425,1.0,12655297.0,12845056.0
6,fd77fa8a-5555-4c9a-8520-811c46f956c3,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,0.05,0,test,1.3521852,0.665,12655297.0,12845056.0
7,fd77fa8a-5555-4c9a-8520-811c46f956c3,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,0.05,0,test,1.3161597,1.0,12655297.0,12845056.0
8,fd77fa8a-5555-4c9a-8520-811c46f956c3,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,,,17,,,,,BERT_small,64,0.01,0.05,0,test,1.3836789,0.29,12655297.0,12845056.0
9,fd77fa8a-5555-4c9a-8520-811c46f956c3,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,,,18,,,,,BERT_small,64,0.01,0.05,0,test,1.3864808,0.205,12655297.0,12845056.0
10,fd77fa8a-5555-4c9a-8520-811c46f956c3,0,16,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,,,19,,,,,BERT_small,64,0.01,0.05,0,test,1.3214312,1.0,12655297.0,12845056.0
11,fd77fa8a-5555-4c9a-8520-811c46f956c3,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,,,15,,,,,BERT_small,64,0.01,0.05,0,test,0.7265807,0.645,189759.0,12845056.0
12,fd77fa8a-5555-4c9a-8520-811c46f956c3,0,16,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Plural/BERT_Small_LM/Random_Training/0b37a9ed-4265-40d5-8fd4-41a0f4b2ff8d_T16,BERT_small,0,SyntaxDataModule,,,16,,,,,BERT_small,64,0.01,0.05,0,test,0.05352161,1.0,189759.0,12845056.0
