,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,51c15374-55aa-432c-a1f6-92f664d3daaa,1,11,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/065cac34-4260-463d-8f88-b492b12c0ce3/11/T11_-0.05_0stage,BERT_small,0,SyntaxDataModule,False,-1.0,11,1.0,0.053969234228134155,89.0,True,BERT_small,64,0.01,-0.05,0,,,,,
1,51c15374-55aa-432c-a1f6-92f664d3daaa,0,11,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/065cac34-4260-463d-8f88-b492b12c0ce3/11/T11_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,validate,0.054194223,1.0,12800537.0,12845056.0
2,51c15374-55aa-432c-a1f6-92f664d3daaa,0,11,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/065cac34-4260-463d-8f88-b492b12c0ce3/11/T11_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,validate,2.2882035,0.415,12800537.0,12845056.0
3,51c15374-55aa-432c-a1f6-92f664d3daaa,0,11,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/065cac34-4260-463d-8f88-b492b12c0ce3/11/T11_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,validate,2.0424962,0.305,12800537.0,12845056.0
4,51c15374-55aa-432c-a1f6-92f664d3daaa,0,11,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/065cac34-4260-463d-8f88-b492b12c0ce3/11/T11_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,validate,0.054196287,1.0,12800537.0,12845056.0
5,51c15374-55aa-432c-a1f6-92f664d3daaa,0,11,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/065cac34-4260-463d-8f88-b492b12c0ce3/11/T11_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,-0.05,0,validate,0.054192528,1.0,12800537.0,12845056.0
6,51c15374-55aa-432c-a1f6-92f664d3daaa,0,11,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/065cac34-4260-463d-8f88-b492b12c0ce3/11/T11_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,validate,0.054194383,1.0,12800537.0,12845056.0
7,51c15374-55aa-432c-a1f6-92f664d3daaa,0,11,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/065cac34-4260-463d-8f88-b492b12c0ce3/11/T11_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,validate,2.2882025,0.435,12800537.0,12845056.0
8,51c15374-55aa-432c-a1f6-92f664d3daaa,0,11,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/065cac34-4260-463d-8f88-b492b12c0ce3/11/T11_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,validate,2.0424945,0.305,12800537.0,12845056.0
9,51c15374-55aa-432c-a1f6-92f664d3daaa,0,11,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/065cac34-4260-463d-8f88-b492b12c0ce3/11/T11_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,validate,0.054196406,1.0,12800537.0,12845056.0
10,51c15374-55aa-432c-a1f6-92f664d3daaa,0,11,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/065cac34-4260-463d-8f88-b492b12c0ce3/11/T11_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,-0.05,0,validate,0.054192696,1.0,12800537.0,12845056.0
11,51c15374-55aa-432c-a1f6-92f664d3daaa,0,11,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Parameters/065cac34-4260-463d-8f88-b492b12c0ce3/11/T11_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,validate,0.6865784,0.785,44519.0,12845056.0
