,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,17dd06a9-2cab-43b6-a53b-a90309f4338a,1,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,False,-1.0,12,1.0,0.054599177092313766,90.0,True,BERT_small,64,0.01,-0.05,0,,,,,
1,17dd06a9-2cab-43b6-a53b-a90309f4338a,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,test,0.054208096,1.0,12736512.0,12845056.0
2,17dd06a9-2cab-43b6-a53b-a90309f4338a,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,test,2.3483477,0.265,12736512.0,12845056.0
3,17dd06a9-2cab-43b6-a53b-a90309f4338a,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,test,2.1409752,0.525,12736512.0,12845056.0
4,17dd06a9-2cab-43b6-a53b-a90309f4338a,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,test,0.054145593,1.0,12736512.0,12845056.0
5,17dd06a9-2cab-43b6-a53b-a90309f4338a,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,-0.05,0,test,0.05427033,1.0,12736512.0,12845056.0
6,17dd06a9-2cab-43b6-a53b-a90309f4338a,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,test,0.054245044,1.0,12736512.0,12845056.0
7,17dd06a9-2cab-43b6-a53b-a90309f4338a,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,test,2.347808,0.365,12736512.0,12845056.0
8,17dd06a9-2cab-43b6-a53b-a90309f4338a,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,test,2.1412232,0.42,12736512.0,12845056.0
9,17dd06a9-2cab-43b6-a53b-a90309f4338a,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Mask_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,test,0.05420773,1.0,12736512.0,12845056.0
