,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,1,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,False,-1.0,12,1.0,0.054697126150131226,87.0,True,BERT_small,64,0.01,-0.05,0,,,,,
1,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,test,1.3852594,0.86,12734742.0,12845056.0
2,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,test,1.3847644,0.6,12734742.0,12845056.0
3,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,test,1.384054,0.85,12734742.0,12845056.0
4,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,test,1.3849051,0.955,12734742.0,12845056.0
5,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,-0.05,0,test,1.3855432,0.81,12734742.0,12845056.0
6,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,test,1.3852533,0.86,12734742.0,12845056.0
7,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,test,1.3847816,0.62,12734742.0,12845056.0
8,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,test,1.3841172,0.84,12734742.0,12845056.0
9,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,test,1.3849549,0.93,12734742.0,12845056.0
10,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,-0.05,0,test,1.3855143,0.805,12734742.0,12845056.0
11,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,test,0.7132816,0.615,110314.0,12845056.0
12,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,test,2.3255572,0.365,110314.0,12845056.0
13,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,test,0.053592782,1.0,110314.0,12845056.0
14,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,test,0.05361252,1.0,110314.0,12845056.0
15,a7d0dfd0-5f06-4cb1-a4dd-98f854cc36e2,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,0,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,-0.05,0,test,1.3862662,0.305,110314.0,12845056.0
16,fd8f21b7-cf83-4980-b1d4-023e711b9b61,1,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,False,-1.0,12,1.0,0.05465792492032051,89.0,True,BERT_small,64,0.01,-0.05,0,,,,,
17,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,test,1.3849802,0.89,12738354.0,12845056.0
18,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,test,1.3844675,0.615,12738354.0,12845056.0
19,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,test,1.3833537,0.925,12738354.0,12845056.0
20,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,test,1.3842145,0.97,12738354.0,12845056.0
21,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,-0.05,0,test,1.3854886,0.765,12738354.0,12845056.0
22,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,test,1.3849843,0.9,12738354.0,12845056.0
23,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,test,1.3843393,0.615,12738354.0,12845056.0
24,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,test,1.3833852,0.905,12738354.0,12845056.0
25,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,test,1.3842797,0.96,12738354.0,12845056.0
26,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,-0.05,0,test,1.3853867,0.795,12738354.0,12845056.0
27,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,test,0.713244,0.81,106702.0,12845056.0
28,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,test,2.3256648,0.275,106702.0,12845056.0
29,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,test,0.05359231,1.0,106702.0,12845056.0
30,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,test,0.053600937,1.0,106702.0,12845056.0
31,fd8f21b7-cf83-4980-b1d4-023e711b9b61,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,1,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,-0.05,0,test,1.3862207,0.565,106702.0,12845056.0
32,cf5b824f-c745-412a-b43b-11b3fc6a67d1,1,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,False,-1.0,12,1.0,0.05474398657679558,90.0,True,BERT_small,64,0.01,-0.05,0,,,,,
33,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,test,1.3839203,0.97,12724630.0,12845056.0
34,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,test,1.3827423,0.685,12724630.0,12845056.0
35,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,test,1.3812191,0.885,12724630.0,12845056.0
36,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,test,1.3831763,0.99,12724630.0,12845056.0
37,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,-0.05,0,test,1.3846872,0.96,12724630.0,12845056.0
38,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,test,1.3836666,0.955,12724630.0,12845056.0
39,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,test,1.3826208,0.65,12724630.0,12845056.0
40,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,test,1.3806522,0.895,12724630.0,12845056.0
41,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,test,1.3827691,0.985,12724630.0,12845056.0
42,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,-0.05,0,test,1.3846747,0.94,12724630.0,12845056.0
43,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,-0.05,0,test,0.7131965,0.935,120426.0,12845056.0
44,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,-0.05,0,test,2.3261151,0.345,120426.0,12845056.0
45,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,-0.05,0,test,0.05353982,1.0,120426.0,12845056.0
46,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,-0.05,0,test,0.05353851,1.0,120426.0,12845056.0
47,cf5b824f-c745-412a-b43b-11b3fc6a67d1,0,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small/Random_Training/8b9a5996-bf37-4b29-bf63-364295d9dda3_T12,BERT_small,2,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,-0.05,0,test,1.3861868,0.87,120426.0,12845056.0
