,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,9a00fcba-4a4f-4765-9f83-e584c7de0b30,1,12,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Random_Training/8c91f5e2-c184-4480-be1a-c2f06fe0aa4b_T12,BERT_small,0,SyntaxDataModule,False,-1.0,12,1.0,0.05497736483812332,89.0,True,BERT_small,64,0.01,0.0,0,,,,,
1,9a00fcba-4a4f-4765-9f83-e584c7de0b30,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Random_Training/8c91f5e2-c184-4480-be1a-c2f06fe0aa4b_T12,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,0.0,0,test,1.3838394,0.95,12701480.0,12845056.0
2,9a00fcba-4a4f-4765-9f83-e584c7de0b30,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Random_Training/8c91f5e2-c184-4480-be1a-c2f06fe0aa4b_T12,BERT_small,0,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,0.0,0,test,1.382319,0.655,12701480.0,12845056.0
3,9a00fcba-4a4f-4765-9f83-e584c7de0b30,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Random_Training/8c91f5e2-c184-4480-be1a-c2f06fe0aa4b_T12,BERT_small,0,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,0.0,0,test,1.380812,0.9,12701480.0,12845056.0
4,9a00fcba-4a4f-4765-9f83-e584c7de0b30,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Random_Training/8c91f5e2-c184-4480-be1a-c2f06fe0aa4b_T12,BERT_small,0,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,0.0,0,test,1.3830948,0.98,12701480.0,12845056.0
5,9a00fcba-4a4f-4765-9f83-e584c7de0b30,0,12,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Random_Training/8c91f5e2-c184-4480-be1a-c2f06fe0aa4b_T12,BERT_small,0,SyntaxDataModule,,,14,,,,,BERT_small,64,0.01,0.0,0,test,1.3844928,0.93,12701480.0,12845056.0
6,9a00fcba-4a4f-4765-9f83-e584c7de0b30,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Random_Training/8c91f5e2-c184-4480-be1a-c2f06fe0aa4b_T12,BERT_small,0,SyntaxDataModule,,,10,,,,,BERT_small,64,0.01,0.0,0,test,1.3838497,0.95,12701480.0,12845056.0
7,9a00fcba-4a4f-4765-9f83-e584c7de0b30,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Random_Training/8c91f5e2-c184-4480-be1a-c2f06fe0aa4b_T12,BERT_small,0,SyntaxDataModule,,,11,,,,,BERT_small,64,0.01,0.0,0,test,1.3823377,0.66,12701480.0,12845056.0
8,9a00fcba-4a4f-4765-9f83-e584c7de0b30,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Random_Training/8c91f5e2-c184-4480-be1a-c2f06fe0aa4b_T12,BERT_small,0,SyntaxDataModule,,,12,,,,,BERT_small,64,0.01,0.0,0,test,1.3809155,0.87,12701480.0,12845056.0
9,9a00fcba-4a4f-4765-9f83-e584c7de0b30,0,12,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/Anaphora_Singular/BERT_Small_LM/Random_Training/8c91f5e2-c184-4480-be1a-c2f06fe0aa4b_T12,BERT_small,0,SyntaxDataModule,,,13,,,,,BERT_small,64,0.01,0.0,0,test,1.3831611,0.97,12701480.0,12845056.0
