,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0
0,1,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,False,-1.0,0,0.28999999165534973,1.0,False,BERT_small,32,0.01,-1,-1,,,,
1,1,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,,,0,,,,BERT_small,32,0.01,-1,-1,validate,1.3862948,0.2671875,0.0
2,2,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,False,-1.0,0,0.30000001192092896,9.0,False,BERT_small,64,0.01,-1,-1,,,,
3,2,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,,,0,,,,BERT_small,64,0.01,-1,-1,validate,1.3862946,0.2943209,0.0
4,3,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,False,-1.0,0,0.5019999742507935,3.0,False,BERT_small,32,0.001,-1,-1,,,,
5,3,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,,,0,,,,BERT_small,32,0.001,-1,-1,validate,0.98983693,0.4953125,0.0
6,4,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,False,-1.0,0,0.5379999876022339,16.0,False,BERT_small,64,0.001,-1,-1,,,,
7,4,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,,,0,,,,BERT_small,64,0.001,-1,-1,validate,0.91270614,0.54642427,0.0
8,5,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,False,-1.0,0,1.0,3.0,False,BERT_small,32,0.0001,-1,-1,,,,
9,5,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,,,0,,,,BERT_small,32,0.0001,-1,-1,validate,0.05382519,1.0,0.0
10,6,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,False,-1.0,0,1.0,2.0,False,BERT_small,64,0.0001,-1,-1,,,,
11,6,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,,,0,,,,BERT_small,64,0.0001,-1,-1,validate,0.056222532,1.0,0.0
12,7,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,False,-1.0,0,1.0,1.0,False,BERT_small,32,1e-05,-1,-1,,,,
13,7,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,,,0,,,,BERT_small,32,1e-05,-1,-1,validate,0.06365811,1.0,0.0
14,8,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,False,-1.0,0,1.0,2.0,False,BERT_small,64,1e-05,-1,-1,,,,
15,8,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/BERT/Test/,BERT_small,0,SyntaxDataModule,,,0,,,,BERT_small,64,1e-05,-1,-1,validate,0.060186483,1.0,0.0
