,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,87388762-6296-43ee-8e6c-3841244d5c3c,1,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,False,-1.0,7,1.0,0.05478158965706825,86.0,True,BERT_small,64,0.01,-0.05,0,,,,,
1,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,-0.05,0,validate,0.23979348,0.978,12722675.0,12845056.0
2,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,-0.05,0,validate,2.2663462,0.224,12722675.0,12845056.0
3,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,-0.05,0,validate,2.220711,0.324,12722675.0,12845056.0
4,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.01,-0.05,0,validate,0.29034725,0.96666664,12722675.0,12845056.0
5,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.01,-0.05,0,validate,0.35025924,0.97,12722675.0,12845056.0
6,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,-0.05,0,validate,0.1356514,1.0,12722675.0,12845056.0
7,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,-0.05,0,validate,2.2555108,0.246,12722675.0,12845056.0
8,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,-0.05,0,validate,2.1808228,0.368,12722675.0,12845056.0
9,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.01,-0.05,0,validate,0.22045974,0.99333334,12722675.0,12845056.0
10,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.01,-0.05,0,validate,0.20850065,0.99333334,12722675.0,12845056.0
11,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,-0.05,0,validate,0.7012159,0.716,122381.0,12845056.0
12,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,-0.05,0,validate,2.2393398,0.254,122381.0,12845056.0
13,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,-0.05,0,validate,0.053557776,1.0,122381.0,12845056.0
14,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.01,-0.05,0,validate,0.05356373,1.0,122381.0,12845056.0
15,87388762-6296-43ee-8e6c-3841244d5c3c,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.01,-0.05,0,validate,1.3862344,0.37666667,122381.0,12845056.0
16,2e14d03c-064c-40f6-bd20-c83ef4ca7244,1,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,False,-1.0,7,1.0,0.06236221268773079,90.0,True,BERT_small,64,0.0001,-0.05,0,,,,,
17,2e14d03c-064c-40f6-bd20-c83ef4ca7244,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3825742,0.718,12232318.0,12845056.0
18,2e14d03c-064c-40f6-bd20-c83ef4ca7244,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3858538,0.306,12232318.0,12845056.0
19,2e14d03c-064c-40f6-bd20-c83ef4ca7244,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3824266,0.808,12232318.0,12845056.0
20,2e14d03c-064c-40f6-bd20-c83ef4ca7244,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3851603,0.8833333,12232318.0,12845056.0
21,2e14d03c-064c-40f6-bd20-c83ef4ca7244,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3816816,0.5733333,12232318.0,12845056.0
22,2e14d03c-064c-40f6-bd20-c83ef4ca7244,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3848963,0.738,12232318.0,12845056.0
23,2e14d03c-064c-40f6-bd20-c83ef4ca7244,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_-0.05_0stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.0001,-0.05,0,validate,1.3865771,0.256,12232318.0,12845056.0
