,Unnamed: 0,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max,Quality Score,Base Model
16,16,69234cfe-e569-47c8-a5a0-5e0ab580889f,1,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,False,-1.0,7,0.9200000166893004,0.1987179964780807,90.0,True,BERT_small,64,0.0001,0.05,2,,,,,,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
17,17,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.0001,0.05,2,validate,0.20580342,0.972,5897398.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
18,18,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.0001,0.05,2,validate,2.1311,0.254,5897398.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
19,19,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.0001,0.05,2,validate,2.1396635,0.502,5897398.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
20,20,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.0001,0.05,2,validate,0.32944193,0.93666667,5897398.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
21,21,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.0001,0.05,2,validate,0.20291992,0.9866667,5897398.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
22,22,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.0001,0.05,2,validate,0.21122824,0.972,5897398.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
23,23,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.0001,0.05,2,validate,2.1534355,0.256,5897398.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
24,24,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.0001,0.05,2,validate,2.1255517,0.5,5897398.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
25,25,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.0001,0.05,2,validate,0.31966305,0.92333335,5897398.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
26,26,69234cfe-e569-47c8-a5a0-5e0ab580889f,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/7/T7_0.05_2stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.0001,0.05,2,validate,0.21336542,0.97333336,5897398.0,6553600.0,0.05000002999999997,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
