,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,6d6f13c8-8996-467f-9ec1-8aa5609d274d,1,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,False,-1.0,6,1.0,0.0552770234644413,89.0,True,BERT_small,64,0.01,0.05,0,,,,,
1,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,0.05,0,test,1.3858826,0.482,12760595.0,12845056.0
2,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,0.05,0,test,1.3855759,0.61,12760595.0,12845056.0
3,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,0.05,0,test,1.38573,0.524,12760595.0,12845056.0
4,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.01,0.05,0,test,1.3859191,0.46,12760595.0,12845056.0
5,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.01,0.05,0,test,1.3857725,0.5466667,12760595.0,12845056.0
6,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,0.05,0,test,1.3858974,0.468,12760595.0,12845056.0
7,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,0.05,0,test,1.3855913,0.582,12760595.0,12845056.0
8,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,0.05,0,test,1.3856887,0.546,12760595.0,12845056.0
9,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.01,0.05,0,test,1.3859056,0.46666667,12760595.0,12845056.0
10,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.01,0.05,0,test,1.3858263,0.5133333,12760595.0,12845056.0
11,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,0.05,0,test,0.712491,0.595,84461.0,12845056.0
12,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,0.05,0,test,0.054442216,1.0,84461.0,12845056.0
13,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,0.05,0,test,2.1591573,0.365,84461.0,12845056.0
14,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.01,0.05,0,test,1.3863037,0.23333333,84461.0,12845056.0
15,6d6f13c8-8996-467f-9ec1-8aa5609d274d,0,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.01,0.05,0,test,0.054607227,1.0,84461.0,12845056.0
16,279870a4-c580-4514-a78c-b7c7170779c3,1,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,1,SyntaxDataModule,False,-1.0,6,1.0,0.059787292033433914,19.0,True,BERT_small,64,0.01,0.05,0,,,,,
17,279870a4-c580-4514-a78c-b7c7170779c3,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Random_Training/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24_T6,BERT_small,1,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,0.05,0,test,1.3860923,0.363,12793160.0,12845056.0
