,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,94241b98-8808-4b84-a2ad-5521217173d3,1,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Training/3c320d51-ed6c-4b13-853a-ee14b3393166_T6,BERT_small,0,SyntaxDataModule,False,-1.0,6,1.0,0.05465667322278023,88.0,True,BERT_small,64,0.0001,0.05,0,,,,,
1,94241b98-8808-4b84-a2ad-5521217173d3,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Training/3c320d51-ed6c-4b13-853a-ee14b3393166_T6,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.0001,0.05,0,test,1.3860947,0.498,12799264.0,12845056.0
2,94241b98-8808-4b84-a2ad-5521217173d3,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Training/3c320d51-ed6c-4b13-853a-ee14b3393166_T6,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.0001,0.05,0,test,1.3863152,0.234,12799264.0,12845056.0
3,94241b98-8808-4b84-a2ad-5521217173d3,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Training/3c320d51-ed6c-4b13-853a-ee14b3393166_T6,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.0001,0.05,0,test,1.385946,0.663,12799264.0,12845056.0
4,94241b98-8808-4b84-a2ad-5521217173d3,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Training/3c320d51-ed6c-4b13-853a-ee14b3393166_T6,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.0001,0.05,0,test,1.3858461,0.73333335,12799264.0,12845056.0
5,94241b98-8808-4b84-a2ad-5521217173d3,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Training/3c320d51-ed6c-4b13-853a-ee14b3393166_T6,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.0001,0.05,0,test,1.3862844,0.26666668,12799264.0,12845056.0
6,94241b98-8808-4b84-a2ad-5521217173d3,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Training/3c320d51-ed6c-4b13-853a-ee14b3393166_T6,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.0001,0.05,0,test,1.3862041,0.431,12799264.0,12845056.0
7,94241b98-8808-4b84-a2ad-5521217173d3,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Training/3c320d51-ed6c-4b13-853a-ee14b3393166_T6,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.0001,0.05,0,test,1.3863013,0.245,12799264.0,12845056.0
8,94241b98-8808-4b84-a2ad-5521217173d3,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Training/3c320d51-ed6c-4b13-853a-ee14b3393166_T6,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.0001,0.05,0,test,1.3861254,0.577,12799264.0,12845056.0
9,94241b98-8808-4b84-a2ad-5521217173d3,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small_LM/Mask_Training/3c320d51-ed6c-4b13-853a-ee14b3393166_T6,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.0001,0.05,0,test,1.3860768,0.6333333,12799264.0,12845056.0
