,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,ebb72cce-da49-4c5a-b50c-6188e6c493c6,1,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Mask_Training/96ffd8bb-3d61-4ccc-8384-e523dfc5ee34_T2,BERT_small,0,SyntaxDataModule,False,-1.0,2,0.9120000004768372,0.21044225990772247,90.0,True,BERT_small,64,0.0001,0.1,2,,,,,
1,ebb72cce-da49-4c5a-b50c-6188e6c493c6,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Mask_Training/96ffd8bb-3d61-4ccc-8384-e523dfc5ee34_T2,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.1,2,test,1.3535421,0.971,4986444.0,6553600.0
2,ebb72cce-da49-4c5a-b50c-6188e6c493c6,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Mask_Training/96ffd8bb-3d61-4ccc-8384-e523dfc5ee34_T2,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.1,2,test,1.3967847,0.227,4986444.0,6553600.0
3,ebb72cce-da49-4c5a-b50c-6188e6c493c6,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Mask_Training/96ffd8bb-3d61-4ccc-8384-e523dfc5ee34_T2,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.1,2,test,1.3715389,0.606,4986444.0,6553600.0
4,ebb72cce-da49-4c5a-b50c-6188e6c493c6,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Mask_Training/96ffd8bb-3d61-4ccc-8384-e523dfc5ee34_T2,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.1,2,test,1.3428677,0.96666664,4986444.0,6553600.0
5,ebb72cce-da49-4c5a-b50c-6188e6c493c6,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Mask_Training/96ffd8bb-3d61-4ccc-8384-e523dfc5ee34_T2,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.1,2,test,1.3641639,0.99666667,4986444.0,6553600.0
6,ebb72cce-da49-4c5a-b50c-6188e6c493c6,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Mask_Training/96ffd8bb-3d61-4ccc-8384-e523dfc5ee34_T2,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.1,2,test,1.3524293,0.972,4986444.0,6553600.0
7,ebb72cce-da49-4c5a-b50c-6188e6c493c6,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Mask_Training/96ffd8bb-3d61-4ccc-8384-e523dfc5ee34_T2,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.1,2,test,1.3989004,0.222,4986444.0,6553600.0
8,ebb72cce-da49-4c5a-b50c-6188e6c493c6,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Mask_Training/96ffd8bb-3d61-4ccc-8384-e523dfc5ee34_T2,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.1,2,test,1.3660545,0.652,4986444.0,6553600.0
9,ebb72cce-da49-4c5a-b50c-6188e6c493c6,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small/Mask_Training/96ffd8bb-3d61-4ccc-8384-e523dfc5ee34_T2,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.1,2,test,1.338883,0.96666664,4986444.0,6553600.0
