,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,8689a2b5-3f96-4c15-8943-ad453265637b,1,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,False,-1.0,2,1.0,0.05594940111041069,90.0,True,BERT_small,64,0.01,0.05,3,,,,,
1,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.01,0.05,3,validate,0.05738584,1.0,3402624.0,3407872.0
2,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.01,0.05,3,validate,2.2079947,0.424,3402624.0,3407872.0
3,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.01,0.05,3,validate,2.17564,0.258,3402624.0,3407872.0
4,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.01,0.05,3,validate,0.057426058,1.0,3402624.0,3407872.0
5,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,64,0.01,0.05,3,validate,0.057338398,1.0,3402624.0,3407872.0
6,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.01,0.05,3,validate,0.05743904,1.0,3402624.0,3407872.0
7,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.01,0.05,3,validate,2.207579,0.43,3402624.0,3407872.0
8,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.01,0.05,3,validate,2.1753209,0.258,3402624.0,3407872.0
9,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.01,0.05,3,validate,0.057482686,1.0,3402624.0,3407872.0
10,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,64,0.01,0.05,3,validate,0.05738933,1.0,3402624.0,3407872.0
11,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.01,0.05,3,validate,0.71740544,1.0,5248.0,3407872.0
12,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.01,0.05,3,validate,2.0509233,0.286,5248.0,3407872.0
13,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.01,0.05,3,validate,0.055896927,1.0,5248.0,3407872.0
14,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.01,0.05,3,validate,0.055533767,1.0,5248.0,3407872.0
15,8689a2b5-3f96-4c15-8943-ad453265637b,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,64,0.01,0.05,3,validate,1.3845952,1.0,5248.0,3407872.0
16,38c73414-2c5e-44ec-8375-e48c3c499a29,1,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,False,-1.0,2,1.0,0.05594516918063164,90.0,True,BERT_small,64,0.0001,0.05,3,,,,,
17,38c73414-2c5e-44ec-8375-e48c3c499a29,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,3,validate,0.5760946,1.0,3170703.0,3407872.0
18,38c73414-2c5e-44ec-8375-e48c3c499a29,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,3,validate,0.38611585,1.0,3170703.0,3407872.0
19,38c73414-2c5e-44ec-8375-e48c3c499a29,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,3,validate,1.749285,0.258,3170703.0,3407872.0
20,38c73414-2c5e-44ec-8375-e48c3c499a29,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,3,validate,0.95443624,1.0,3170703.0,3407872.0
21,38c73414-2c5e-44ec-8375-e48c3c499a29,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.05,3,validate,0.18869506,1.0,3170703.0,3407872.0
22,38c73414-2c5e-44ec-8375-e48c3c499a29,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,3,validate,0.57397,1.0,3170703.0,3407872.0
23,38c73414-2c5e-44ec-8375-e48c3c499a29,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,3,validate,0.37352124,1.0,3170703.0,3407872.0
24,38c73414-2c5e-44ec-8375-e48c3c499a29,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,3,validate,1.7492867,0.258,3170703.0,3407872.0
25,38c73414-2c5e-44ec-8375-e48c3c499a29,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/5bb85b5d-264b-4a80-b54f-d8c072480327/2/T2_0.05_3stage,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,3,validate,0.95565206,1.0,3170703.0,3407872.0
