,Unnamed: 0,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max,Quality Score,Base Model
16,16,2f748576-bc9c-4e07-b3c3-1d5ff7e09165,1,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/da4466e3-3b9d-4932-af62-a8d548906254/2/T2_0.05_2stage,BERT_small,0,SyntaxDataModule,False,-1.0,2,1.0,0.0546803399920463,90.0,True,BERT_small,64,0.0001,0.05,2,,,,,,0.43999999999999995,da4466e3-3b9d-4932-af62-a8d548906254
17,17,2f748576-bc9c-4e07-b3c3-1d5ff7e09165,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/da4466e3-3b9d-4932-af62-a8d548906254/2/T2_0.05_2stage,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,2,validate,1.385853,0.788,6488631.0,6553600.0,0.43999999999999995,da4466e3-3b9d-4932-af62-a8d548906254
18,18,2f748576-bc9c-4e07-b3c3-1d5ff7e09165,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/da4466e3-3b9d-4932-af62-a8d548906254/2/T2_0.05_2stage,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3854184,1.0,6488631.0,6553600.0,0.43999999999999995,da4466e3-3b9d-4932-af62-a8d548906254
19,19,2f748576-bc9c-4e07-b3c3-1d5ff7e09165,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/da4466e3-3b9d-4932-af62-a8d548906254/2/T2_0.05_2stage,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,2,validate,1.386272,0.442,6488631.0,6553600.0,0.43999999999999995,da4466e3-3b9d-4932-af62-a8d548906254
20,20,2f748576-bc9c-4e07-b3c3-1d5ff7e09165,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/da4466e3-3b9d-4932-af62-a8d548906254/2/T2_0.05_2stage,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,2,validate,1.386278,0.56,6488631.0,6553600.0,0.43999999999999995,da4466e3-3b9d-4932-af62-a8d548906254
21,21,2f748576-bc9c-4e07-b3c3-1d5ff7e09165,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/da4466e3-3b9d-4932-af62-a8d548906254/2/T2_0.05_2stage,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3854299,1.0,6488631.0,6553600.0,0.43999999999999995,da4466e3-3b9d-4932-af62-a8d548906254
22,22,2f748576-bc9c-4e07-b3c3-1d5ff7e09165,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/da4466e3-3b9d-4932-af62-a8d548906254/2/T2_0.05_2stage,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3858284,0.818,6488631.0,6553600.0,0.43999999999999995,da4466e3-3b9d-4932-af62-a8d548906254
23,23,2f748576-bc9c-4e07-b3c3-1d5ff7e09165,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/da4466e3-3b9d-4932-af62-a8d548906254/2/T2_0.05_2stage,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3853784,1.0,6488631.0,6553600.0,0.43999999999999995,da4466e3-3b9d-4932-af62-a8d548906254
24,24,2f748576-bc9c-4e07-b3c3-1d5ff7e09165,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/da4466e3-3b9d-4932-af62-a8d548906254/2/T2_0.05_2stage,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3862747,0.416,6488631.0,6553600.0,0.43999999999999995,da4466e3-3b9d-4932-af62-a8d548906254
25,25,2f748576-bc9c-4e07-b3c3-1d5ff7e09165,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Parameters/da4466e3-3b9d-4932-af62-a8d548906254/2/T2_0.05_2stage,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,2,validate,1.3862743,0.64666665,6488631.0,6553600.0,0.43999999999999995,da4466e3-3b9d-4932-af62-a8d548906254
