,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,368b1544-1935-40d8-8e2f-8436dc81c2a9,1,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,False,-1.0,2,1.0,0.054680339992046356,90.0,True,BERT_small,64,0.0001,0.05,2,,,,,
1,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,2,test,1.3858538,0.773,6488631.0,6553600.0
2,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,2,test,1.3854191,1.0,6488631.0,6553600.0
3,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,2,test,1.3862998,0.35,6488631.0,6553600.0
4,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,2,test,1.3862801,0.57666665,6488631.0,6553600.0
5,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.05,2,test,1.385427,1.0,6488631.0,6553600.0
6,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,2,test,1.3858293,0.806,6488631.0,6553600.0
7,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,2,test,1.3853809,1.0,6488631.0,6553600.0
8,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,2,test,1.3863041,0.344,6488631.0,6553600.0
9,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,2,test,1.386277,0.65,6488631.0,6553600.0
10,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.05,2,test,1.385381,1.0,6488631.0,6553600.0
11,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,2,test,0.7201572,0.957,64969.0,6553600.0
12,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,2,test,2.2123091,0.239,64969.0,6553600.0
13,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,2,test,0.054030824,1.0,64969.0,6553600.0
14,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,2,test,0.0540287,1.0,64969.0,6553600.0
15,368b1544-1935-40d8-8e2f-8436dc81c2a9,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.05,2,test,1.3862869,0.94666666,64969.0,6553600.0
16,4d9fc059-0c11-4e42-bb9b-68954e1df731,1,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,False,-1.0,2,1.0,0.05470233038067818,90.0,True,BERT_small,64,0.0001,0.05,2,,,,,
17,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,2,test,1.3858658,0.776,6488502.0,6553600.0
18,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,2,test,1.385443,1.0,6488502.0,6553600.0
19,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,2,test,1.3862984,0.352,6488502.0,6553600.0
20,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,2,test,1.3862802,0.58666664,6488502.0,6553600.0
21,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.05,2,test,1.3854512,1.0,6488502.0,6553600.0
22,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,2,test,1.3858284,0.756,6488502.0,6553600.0
23,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,2,test,1.3853757,1.0,6488502.0,6553600.0
24,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,2,test,1.3863088,0.307,6488502.0,6553600.0
25,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,2,test,1.3862802,0.5366667,6488502.0,6553600.0
26,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.05,2,test,1.385376,1.0,6488502.0,6553600.0
27,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,2,test,0.7201676,0.967,65098.0,6553600.0
28,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,2,test,2.2121644,0.239,65098.0,6553600.0
29,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,2,test,0.054051537,1.0,65098.0,6553600.0
30,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,2,test,0.054050013,1.0,65098.0,6553600.0
31,4d9fc059-0c11-4e42-bb9b-68954e1df731,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,1,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.05,2,test,1.3862858,0.9533333,65098.0,6553600.0
32,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,1,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,False,-1.0,2,1.0,0.05470987409353256,90.0,True,BERT_small,64,0.0001,0.05,2,,,,,
33,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,2,test,1.3858569,0.778,6488645.0,6553600.0
34,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,2,test,1.3854271,1.0,6488645.0,6553600.0
35,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,2,test,1.3863018,0.342,6488645.0,6553600.0
36,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,2,test,1.3862803,0.58666664,6488645.0,6553600.0
37,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,0,2,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.05,2,test,1.385433,1.0,6488645.0,6553600.0
38,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,2,test,1.3858749,0.751,6488645.0,6553600.0
39,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,2,test,1.3854654,1.0,6488645.0,6553600.0
40,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,2,test,1.3863057,0.322,6488645.0,6553600.0
41,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,2,test,1.386282,0.53333336,6488645.0,6553600.0
42,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,0,2,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.05,2,test,1.3854665,1.0,6488645.0,6553600.0
43,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,2,test,0.72017235,0.968,64955.0,6553600.0
44,5964af9d-2bd0-447e-ba20-f51d6c0c8a96,0,2,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Mask_Training/da4466e3-3b9d-4932-af62-a8d548906254_T2,BERT_small,2,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,2,test,2.2121017,0.24,64955.0,6553600.0
