,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,da4466e3-3b9d-4932-af62-a8d548906254,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,0,SyntaxDataModule,True,-1.0,0,1.0,0.05349047854542732,98.0,False,BERT_small,32,1e-05,-1,-1,,,,,
1,da4466e3-3b9d-4932-af62-a8d548906254,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,32,1e-05,-1,-1,test,0.053490493,1.0,0.0,0.0
2,da4466e3-3b9d-4932-af62-a8d548906254,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,32,1e-05,-1,-1,test,2.2398887,0.33,0.0,0.0
3,da4466e3-3b9d-4932-af62-a8d548906254,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,32,1e-05,-1,-1,test,2.162542,0.251,0.0,0.0
4,da4466e3-3b9d-4932-af62-a8d548906254,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,32,1e-05,-1,-1,test,0.053490505,1.0,0.0,0.0
5,da4466e3-3b9d-4932-af62-a8d548906254,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,32,1e-05,-1,-1,test,0.053490493,1.0,0.0,0.0
6,5bb85b5d-264b-4a80-b54f-d8c072480327,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,1,SyntaxDataModule,True,-1.0,0,1.0,0.053490471094846725,98.0,False,BERT_small,32,1e-05,-1,-1,,,,,
7,5bb85b5d-264b-4a80-b54f-d8c072480327,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,1,SyntaxDataModule,,,0,,,,,BERT_small,32,1e-05,-1,-1,test,0.053490486,1.0,0.0,0.0
8,5bb85b5d-264b-4a80-b54f-d8c072480327,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,1,SyntaxDataModule,,,1,,,,,BERT_small,32,1e-05,-1,-1,test,2.2398891,0.3,0.0,0.0
9,5bb85b5d-264b-4a80-b54f-d8c072480327,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,1,SyntaxDataModule,,,2,,,,,BERT_small,32,1e-05,-1,-1,test,2.162542,0.245,0.0,0.0
10,5bb85b5d-264b-4a80-b54f-d8c072480327,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,1,SyntaxDataModule,,,3,,,,,BERT_small,32,1e-05,-1,-1,test,0.053490497,1.0,0.0,0.0
11,5bb85b5d-264b-4a80-b54f-d8c072480327,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,1,SyntaxDataModule,,,4,,,,,BERT_small,32,1e-05,-1,-1,test,0.053490486,1.0,0.0,0.0
12,4bb7a145-9597-4a1d-9923-e91f2d44183a,1,0,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,2,SyntaxDataModule,True,-1.0,0,1.0,0.05349047854542732,92.0,False,BERT_small,32,1e-05,-1,-1,,,,,
13,4bb7a145-9597-4a1d-9923-e91f2d44183a,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,2,SyntaxDataModule,,,0,,,,,BERT_small,32,1e-05,-1,-1,test,0.053490493,1.0,0.0,0.0
14,4bb7a145-9597-4a1d-9923-e91f2d44183a,0,0,None,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Model_Training,BERT_small,2,SyntaxDataModule,,,1,,,,,BERT_small,32,1e-05,-1,-1,test,2.239889,0.327,0.0,0.0
