,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,5155a4da-77c5-46e3-9fde-ac019c704a64,1,1,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Random_Training/5bb85b5d-264b-4a80-b54f-d8c072480327_T1,BERT_small,0,SyntaxDataModule,False,-1.0,1,1.0,0.05592389032244682,90.0,True,BERT_small,64,0.0001,0.05,0,,,,,
1,5155a4da-77c5-46e3-9fde-ac019c704a64,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Random_Training/5bb85b5d-264b-4a80-b54f-d8c072480327_T1,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,0,test,1.380154,0.678,12605139.0,12845056.0
2,5155a4da-77c5-46e3-9fde-ac019c704a64,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Random_Training/5bb85b5d-264b-4a80-b54f-d8c072480327_T1,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,0,test,1.370848,0.861,12605139.0,12845056.0
3,5155a4da-77c5-46e3-9fde-ac019c704a64,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Random_Training/5bb85b5d-264b-4a80-b54f-d8c072480327_T1,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,0,test,1.379989,0.475,12605139.0,12845056.0
4,5155a4da-77c5-46e3-9fde-ac019c704a64,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Random_Training/5bb85b5d-264b-4a80-b54f-d8c072480327_T1,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,0,test,1.3844379,0.49333334,12605139.0,12845056.0
5,5155a4da-77c5-46e3-9fde-ac019c704a64,0,1,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Random_Training/5bb85b5d-264b-4a80-b54f-d8c072480327_T1,BERT_small,0,SyntaxDataModule,,,4,,,,,BERT_small,64,0.0001,0.05,0,test,1.3764285,0.77666664,12605139.0,12845056.0
6,5155a4da-77c5-46e3-9fde-ac019c704a64,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Random_Training/5bb85b5d-264b-4a80-b54f-d8c072480327_T1,BERT_small,0,SyntaxDataModule,,,0,,,,,BERT_small,64,0.0001,0.05,0,test,1.380227,0.666,12605139.0,12845056.0
7,5155a4da-77c5-46e3-9fde-ac019c704a64,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Random_Training/5bb85b5d-264b-4a80-b54f-d8c072480327_T1,BERT_small,0,SyntaxDataModule,,,1,,,,,BERT_small,64,0.0001,0.05,0,test,1.3710734,0.834,12605139.0,12845056.0
8,5155a4da-77c5-46e3-9fde-ac019c704a64,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Random_Training/5bb85b5d-264b-4a80-b54f-d8c072480327_T1,BERT_small,0,SyntaxDataModule,,,2,,,,,BERT_small,64,0.0001,0.05,0,test,1.3795874,0.486,12605139.0,12845056.0
9,5155a4da-77c5-46e3-9fde-ac019c704a64,0,1,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Singular/BERT_Small_LM/Random_Training/5bb85b5d-264b-4a80-b54f-d8c072480327_T1,BERT_small,0,SyntaxDataModule,,,3,,,,,BERT_small,64,0.0001,0.05,0,test,1.3842589,0.49,12605139.0,12845056.0
