,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_L0,2_test_acc,2_test_loss
0,1.0,1.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,104,1.0,28.0,1.0,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",,,
1,1.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",26163784.0,0.9818359613418579,0.42333927750587463
2,1.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",26163784.0,0.529492199420929,1.3012691736221313
3,1.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",26163784.0,0.34687501192092896,1.5446265935897827
4,1.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,106,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",26163784.0,0.9912109375,0.3069970905780792
5,1.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,107,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",26163784.0,0.9853515625,0.41965243220329285
6,1.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,108,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",26163784.0,0.947460949420929,0.5510634183883667
7,1.0,0.0,104,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",26163784.0,0.9798828363418579,0.4275279939174652
8,1.0,0.0,104,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",26163784.0,0.529492199420929,1.3029189109802246
9,1.0,0.0,104,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",26163784.0,0.34492188692092896,1.5398547649383545
10,1.0,0.0,104,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,106,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",26163784.0,0.9921875,0.31092527508735657
11,1.0,0.0,104,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,107,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",26163784.0,0.986328125,0.4232393503189087
12,1.0,0.0,104,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,108,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",26163784.0,0.947460949420929,0.5552626848220825
13,1.0,0.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",312761.0,0.7177734375,0.5129716396331787
14,1.0,0.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",312761.0,0.9990234375,0.07228662073612213
15,1.0,0.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",312761.0,0.25859373807907104,2.1396589279174805
16,1.0,0.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,106,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",312761.0,0.9990234375,0.07426072657108307
17,1.0,0.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,107,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",312761.0,0.99609375,0.08297707140445709
18,1.0,0.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,108,,,,L0resnet50,64.0,0.01,0.05,"['stage_3', 'stage_4']",312761.0,0.14277343451976776,1.4223582744598389
19,2.0,1.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,104,1.0,66.0,1.0,L0resnet50,64.0,0.0001,0.05,"['stage_3', 'stage_4']",,,
20,2.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.05_2stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.0001,0.05,"['stage_3', 'stage_4']",23501806.0,0.3414062559604645,1.3272619247436523
