,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,801435ec-fe71-4f87-9768-930be3d76f43,1,117,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,117,0.8579999804496765,1.2047251462936401,86.0,True,resnet50,64,0.01,-0.05,['stage_4'],,,,,
1,801435ec-fe71-4f87-9768-930be3d76f43,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,115,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,0.8974387,0.986,18869796.0,19398656.0
2,801435ec-fe71-4f87-9768-930be3d76f43,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,116,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,1.2033559,0.588,18869796.0,19398656.0
3,801435ec-fe71-4f87-9768-930be3d76f43,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,117,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,1.3096497,0.488,18869796.0,19398656.0
4,801435ec-fe71-4f87-9768-930be3d76f43,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,118,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,0.74785376,0.996,18869796.0,19398656.0
5,801435ec-fe71-4f87-9768-930be3d76f43,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,119,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,1.0290341,0.976,18869796.0,19398656.0
6,801435ec-fe71-4f87-9768-930be3d76f43,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,120,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,0.89004403,0.998,18869796.0,19398656.0
7,801435ec-fe71-4f87-9768-930be3d76f43,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,115,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,0.9015631,0.986,18869796.0,19398656.0
8,801435ec-fe71-4f87-9768-930be3d76f43,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,116,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,1.2055427,0.588,18869796.0,19398656.0
9,801435ec-fe71-4f87-9768-930be3d76f43,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,117,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,1.3105445,0.486,18869796.0,19398656.0
10,801435ec-fe71-4f87-9768-930be3d76f43,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,118,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,0.75371003,0.996,18869796.0,19398656.0
11,801435ec-fe71-4f87-9768-930be3d76f43,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,119,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,1.0311912,0.976,18869796.0,19398656.0
12,801435ec-fe71-4f87-9768-930be3d76f43,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,120,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,0.8941521,0.998,18869796.0,19398656.0
13,801435ec-fe71-4f87-9768-930be3d76f43,0,117,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb/117/T117_-0.05_1stage,0,CVRTDataModule,115,,,,,resnet50,64,0.01,-0.05,['stage_4'],validate,1.2023789,0.826,528860.0,19398656.0
