,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,88e972f4-6dd7-42a6-b17b-6ad92503d33e,1,117,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/732bcf3e-974c-44b6-ae4d-d1402d5961e4_T117,0,CVRTDataModule,117,0.9760000109672546,1.4037717580795288,1.0,True,resnet50,64,0.0001,-0.05,['stage_4'],,,,,
1,88e972f4-6dd7-42a6-b17b-6ad92503d33e,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/732bcf3e-974c-44b6-ae4d-d1402d5961e4_T117,0,CVRTDataModule,115,,,,,resnet50,64,0.0001,-0.05,['stage_4'],test,1.3754709,0.815,17567276.0,19398656.0
2,88e972f4-6dd7-42a6-b17b-6ad92503d33e,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/732bcf3e-974c-44b6-ae4d-d1402d5961e4_T117,0,CVRTDataModule,116,,,,,resnet50,64,0.0001,-0.05,['stage_4'],test,1.3844995,0.362,17567276.0,19398656.0
3,88e972f4-6dd7-42a6-b17b-6ad92503d33e,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/732bcf3e-974c-44b6-ae4d-d1402d5961e4_T117,0,CVRTDataModule,117,,,,,resnet50,64,0.0001,-0.05,['stage_4'],test,1.3809174,0.497,17567276.0,19398656.0
4,88e972f4-6dd7-42a6-b17b-6ad92503d33e,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/732bcf3e-974c-44b6-ae4d-d1402d5961e4_T117,0,CVRTDataModule,118,,,,,resnet50,64,0.0001,-0.05,['stage_4'],test,1.3711606,0.789,17567276.0,19398656.0
5,88e972f4-6dd7-42a6-b17b-6ad92503d33e,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/732bcf3e-974c-44b6-ae4d-d1402d5961e4_T117,0,CVRTDataModule,119,,,,,resnet50,64,0.0001,-0.05,['stage_4'],test,1.3761231,0.798,17567276.0,19398656.0
6,88e972f4-6dd7-42a6-b17b-6ad92503d33e,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/732bcf3e-974c-44b6-ae4d-d1402d5961e4_T117,0,CVRTDataModule,120,,,,,resnet50,64,0.0001,-0.05,['stage_4'],test,1.3797293,0.838,17567276.0,19398656.0
7,88e972f4-6dd7-42a6-b17b-6ad92503d33e,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/732bcf3e-974c-44b6-ae4d-d1402d5961e4_T117,0,CVRTDataModule,115,,,,,resnet50,64,0.0001,-0.05,['stage_4'],test,1.3753865,0.817,17567276.0,19398656.0
8,88e972f4-6dd7-42a6-b17b-6ad92503d33e,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/732bcf3e-974c-44b6-ae4d-d1402d5961e4_T117,0,CVRTDataModule,116,,,,,resnet50,64,0.0001,-0.05,['stage_4'],test,1.3844765,0.363,17567276.0,19398656.0
9,88e972f4-6dd7-42a6-b17b-6ad92503d33e,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/732bcf3e-974c-44b6-ae4d-d1402d5961e4_T117,0,CVRTDataModule,117,,,,,resnet50,64,0.0001,-0.05,['stage_4'],test,1.380899,0.498,17567276.0,19398656.0
