,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,edd96d50-d2f8-42a1-8a21-1ac08997f118,1,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,116,0.9900000095367432,1.4325714111328125,7.0,True,resnet50,64,0.0001,0.1,['stage_4'],,,,,
1,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,115,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3829397,0.817,13139732.0,19398656.0
2,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,116,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3863822,0.293,13139732.0,19398656.0
3,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,117,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.382502,0.822,13139732.0,19398656.0
4,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,118,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3814373,0.929,13139732.0,19398656.0
5,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,119,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3819714,0.923,13139732.0,19398656.0
6,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,120,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3858194,0.572,13139732.0,19398656.0
7,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,115,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3830327,0.816,13139732.0,19398656.0
8,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,116,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3863782,0.29,13139732.0,19398656.0
9,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,117,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3826011,0.822,13139732.0,19398656.0
10,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,118,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3815702,0.931,13139732.0,19398656.0
11,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,119,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3820927,0.921,13139732.0,19398656.0
12,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,120,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3858387,0.573,13139732.0,19398656.0
13,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,115,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3764609,0.854,6258924.0,19398656.0
14,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,116,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3701328,0.991,6258924.0,19398656.0
15,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,117,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3861006,0.316,6258924.0,19398656.0
16,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,118,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3728081,0.988,6258924.0,19398656.0
17,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,119,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3858811,0.557,6258924.0,19398656.0
18,edd96d50-d2f8-42a1-8a21-1ac08997f118,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,0,CVRTDataModule,120,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3695164,0.996,6258924.0,19398656.0
19,b82fb8b1-42dc-4d92-b1ef-360e7191260e,1,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,116,0.9900000095367432,1.4313095808029175,7.0,True,resnet50,64,0.0001,0.1,['stage_4'],,,,,
20,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,115,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3827428,0.819,13354112.0,19398656.0
21,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,116,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3864127,0.282,13354112.0,19398656.0
22,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,117,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3822955,0.828,13354112.0,19398656.0
23,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,118,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3811446,0.931,13354112.0,19398656.0
24,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,119,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3817112,0.924,13354112.0,19398656.0
25,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,120,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3857837,0.574,13354112.0,19398656.0
26,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,115,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3827736,0.821,13354112.0,19398656.0
27,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,116,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3864081,0.28,13354112.0,19398656.0
28,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,117,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3823303,0.827,13354112.0,19398656.0
29,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,118,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3811897,0.936,13354112.0,19398656.0
30,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,119,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3817548,0.926,13354112.0,19398656.0
31,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,120,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3857898,0.574,13354112.0,19398656.0
32,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,115,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.377002,0.865,6044544.0,19398656.0
33,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,116,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3710159,0.99,6044544.0,19398656.0
34,b82fb8b1-42dc-4d92-b1ef-360e7191260e,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Mask_Training/ae475d3e-3c13-40dd-8026-eec90d480feb_T116,1,CVRTDataModule,117,,,,,resnet50,64,0.0001,0.1,['stage_4'],test,1.3861077,0.31,6044544.0,19398656.0
