,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,9873b183-1dca-494e-adff-c42a11b768d9,1,117,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb_T115/61f77af9-0def-4c1b-8ae8-bd1e74c0d112/117/T117_-0.05_5stage,0,CVRTDataModule,117,1.0,1.3283857107162476,55.0,True,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,
1,9873b183-1dca-494e-adff-c42a11b768d9,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb_T115/61f77af9-0def-4c1b-8ae8-bd1e74c0d112/117/T117_-0.05_5stage,0,CVRTDataModule,115,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3839256,0.298,27664087.0,27911360.0
2,9873b183-1dca-494e-adff-c42a11b768d9,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb_T115/61f77af9-0def-4c1b-8ae8-bd1e74c0d112/117/T117_-0.05_5stage,0,CVRTDataModule,116,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.385385,0.226,27664087.0,27911360.0
3,9873b183-1dca-494e-adff-c42a11b768d9,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb_T115/61f77af9-0def-4c1b-8ae8-bd1e74c0d112/117/T117_-0.05_5stage,0,CVRTDataModule,117,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3853266,0.25,27664087.0,27911360.0
4,9873b183-1dca-494e-adff-c42a11b768d9,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb_T115/61f77af9-0def-4c1b-8ae8-bd1e74c0d112/117/T117_-0.05_5stage,0,CVRTDataModule,118,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3824971,0.344,27664087.0,27911360.0
5,9873b183-1dca-494e-adff-c42a11b768d9,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb_T115/61f77af9-0def-4c1b-8ae8-bd1e74c0d112/117/T117_-0.05_5stage,0,CVRTDataModule,119,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3847073,0.306,27664087.0,27911360.0
6,9873b183-1dca-494e-adff-c42a11b768d9,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb_T115/61f77af9-0def-4c1b-8ae8-bd1e74c0d112/117/T117_-0.05_5stage,0,CVRTDataModule,120,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3834164,0.324,27664087.0,27911360.0
7,9873b183-1dca-494e-adff-c42a11b768d9,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb_T115/61f77af9-0def-4c1b-8ae8-bd1e74c0d112/117/T117_-0.05_5stage,0,CVRTDataModule,115,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3835752,0.336,27664087.0,27911360.0
8,9873b183-1dca-494e-adff-c42a11b768d9,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb_T115/61f77af9-0def-4c1b-8ae8-bd1e74c0d112/117/T117_-0.05_5stage,0,CVRTDataModule,116,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3851885,0.242,27664087.0,27911360.0
9,9873b183-1dca-494e-adff-c42a11b768d9,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Parameters/ae475d3e-3c13-40dd-8026-eec90d480feb_T115/61f77af9-0def-4c1b-8ae8-bd1e74c0d112/117/T117_-0.05_5stage,0,CVRTDataModule,117,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.385673,0.262,27664087.0,27911360.0
