,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,064111ba-1435-4d84-b48e-30a72d4e2f2b,1,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Training/f21191fc-373a-48c0-ba1c-7e0297c965f3_T116,0,CVRTDataModule,116,0.9940000176429749,1.3907170295715332,34.0,True,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",,,,,
1,064111ba-1435-4d84-b48e-30a72d4e2f2b,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Training/f21191fc-373a-48c0-ba1c-7e0297c965f3_T116,0,CVRTDataModule,115,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.0103048,0.709,26003606.0,26476544.0
2,064111ba-1435-4d84-b48e-30a72d4e2f2b,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Training/f21191fc-373a-48c0-ba1c-7e0297c965f3_T116,0,CVRTDataModule,116,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.8427056,0.28,26003606.0,26476544.0
3,064111ba-1435-4d84-b48e-30a72d4e2f2b,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Training/f21191fc-373a-48c0-ba1c-7e0297c965f3_T116,0,CVRTDataModule,117,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.0842159,0.758,26003606.0,26476544.0
4,064111ba-1435-4d84-b48e-30a72d4e2f2b,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Training/f21191fc-373a-48c0-ba1c-7e0297c965f3_T116,0,CVRTDataModule,118,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,0.8914978,0.865,26003606.0,26476544.0
5,064111ba-1435-4d84-b48e-30a72d4e2f2b,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Training/f21191fc-373a-48c0-ba1c-7e0297c965f3_T116,0,CVRTDataModule,119,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,0.81494874,0.869,26003606.0,26476544.0
6,064111ba-1435-4d84-b48e-30a72d4e2f2b,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Training/f21191fc-373a-48c0-ba1c-7e0297c965f3_T116,0,CVRTDataModule,120,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.2859434,0.436,26003606.0,26476544.0
7,064111ba-1435-4d84-b48e-30a72d4e2f2b,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Training/f21191fc-373a-48c0-ba1c-7e0297c965f3_T116,0,CVRTDataModule,115,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.0173535,0.703,26003606.0,26476544.0
8,064111ba-1435-4d84-b48e-30a72d4e2f2b,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Training/f21191fc-373a-48c0-ba1c-7e0297c965f3_T116,0,CVRTDataModule,116,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.8434335,0.275,26003606.0,26476544.0
9,064111ba-1435-4d84-b48e-30a72d4e2f2b,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50/Pruned_Mask_Training/f21191fc-373a-48c0-ba1c-7e0297c965f3_T116,0,CVRTDataModule,117,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.0875591,0.757,26003606.0,26476544.0
