,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,4e54b508-fd93-41df-8744-2b28845f26eb,1,117,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Parameters/c837016c-fe1e-4306-8782-7b0ad0037564/117/T117_-0.05_5stage,0,CVRTDataModule,117,0.9959999918937683,0.09505259990692139,71.0,True,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,
1,4e54b508-fd93-41df-8744-2b28845f26eb,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Parameters/c837016c-fe1e-4306-8782-7b0ad0037564/117/T117_-0.05_5stage,0,CVRTDataModule,115,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3852342,0.396,26453096.0,27911360.0
2,4e54b508-fd93-41df-8744-2b28845f26eb,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Parameters/c837016c-fe1e-4306-8782-7b0ad0037564/117/T117_-0.05_5stage,0,CVRTDataModule,116,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3850214,0.414,26453096.0,27911360.0
3,4e54b508-fd93-41df-8744-2b28845f26eb,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Parameters/c837016c-fe1e-4306-8782-7b0ad0037564/117/T117_-0.05_5stage,0,CVRTDataModule,117,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.386165,0.272,26453096.0,27911360.0
4,4e54b508-fd93-41df-8744-2b28845f26eb,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Parameters/c837016c-fe1e-4306-8782-7b0ad0037564/117/T117_-0.05_5stage,0,CVRTDataModule,118,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3849568,0.456,26453096.0,27911360.0
5,4e54b508-fd93-41df-8744-2b28845f26eb,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Parameters/c837016c-fe1e-4306-8782-7b0ad0037564/117/T117_-0.05_5stage,0,CVRTDataModule,119,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3858738,0.35,26453096.0,27911360.0
6,4e54b508-fd93-41df-8744-2b28845f26eb,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Parameters/c837016c-fe1e-4306-8782-7b0ad0037564/117/T117_-0.05_5stage,0,CVRTDataModule,120,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3850391,0.41,26453096.0,27911360.0
7,4e54b508-fd93-41df-8744-2b28845f26eb,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Parameters/c837016c-fe1e-4306-8782-7b0ad0037564/117/T117_-0.05_5stage,0,CVRTDataModule,115,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3851604,0.422,26453096.0,27911360.0
8,4e54b508-fd93-41df-8744-2b28845f26eb,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Parameters/c837016c-fe1e-4306-8782-7b0ad0037564/117/T117_-0.05_5stage,0,CVRTDataModule,116,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3850114,0.434,26453096.0,27911360.0
9,4e54b508-fd93-41df-8744-2b28845f26eb,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Parameters/c837016c-fe1e-4306-8782-7b0ad0037564/117/T117_-0.05_5stage,0,CVRTDataModule,117,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3861485,0.264,26453096.0,27911360.0
