,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,5afcc8e3-eb61-4a2d-9156-7d0572731f23,1,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/c837016c-fe1e-4306-8782-7b0ad0037564_T116,0,CVRTDataModule,116,0.9879999756813049,1.394602656364441,37.0,True,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",,,,,
1,5afcc8e3-eb61-4a2d-9156-7d0572731f23,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/c837016c-fe1e-4306-8782-7b0ad0037564_T116,0,CVRTDataModule,115,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3769507,0.42,25643460.0,26476544.0
2,5afcc8e3-eb61-4a2d-9156-7d0572731f23,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/c837016c-fe1e-4306-8782-7b0ad0037564_T116,0,CVRTDataModule,116,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3871309,0.284,25643460.0,26476544.0
3,5afcc8e3-eb61-4a2d-9156-7d0572731f23,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/c837016c-fe1e-4306-8782-7b0ad0037564_T116,0,CVRTDataModule,117,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3772695,0.37,25643460.0,26476544.0
4,5afcc8e3-eb61-4a2d-9156-7d0572731f23,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/c837016c-fe1e-4306-8782-7b0ad0037564_T116,0,CVRTDataModule,118,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3760377,0.461,25643460.0,26476544.0
5,5afcc8e3-eb61-4a2d-9156-7d0572731f23,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/c837016c-fe1e-4306-8782-7b0ad0037564_T116,0,CVRTDataModule,119,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3705869,0.478,25643460.0,26476544.0
6,5afcc8e3-eb61-4a2d-9156-7d0572731f23,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/c837016c-fe1e-4306-8782-7b0ad0037564_T116,0,CVRTDataModule,120,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3812164,0.39,25643460.0,26476544.0
7,5afcc8e3-eb61-4a2d-9156-7d0572731f23,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/c837016c-fe1e-4306-8782-7b0ad0037564_T116,0,CVRTDataModule,115,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3763525,0.428,25643460.0,26476544.0
8,5afcc8e3-eb61-4a2d-9156-7d0572731f23,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/c837016c-fe1e-4306-8782-7b0ad0037564_T116,0,CVRTDataModule,116,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3871521,0.297,25643460.0,26476544.0
9,5afcc8e3-eb61-4a2d-9156-7d0572731f23,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/c837016c-fe1e-4306-8782-7b0ad0037564_T116,0,CVRTDataModule,117,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3764604,0.375,25643460.0,26476544.0
