,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,59870cc4-1414-469c-9097-c0412ead940f,1,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/de15674e-76d0-47ed-9b83-41e5ad403752_T116,0,CVRTDataModule,116,1.0,0.5846501588821411,50.0,True,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",,,,,
1,59870cc4-1414-469c-9097-c0412ead940f,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/de15674e-76d0-47ed-9b83-41e5ad403752_T116,0,CVRTDataModule,115,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3808669,0.513,25710876.0,26476544.0
2,59870cc4-1414-469c-9097-c0412ead940f,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/de15674e-76d0-47ed-9b83-41e5ad403752_T116,0,CVRTDataModule,116,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3869234,0.258,25710876.0,26476544.0
3,59870cc4-1414-469c-9097-c0412ead940f,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/de15674e-76d0-47ed-9b83-41e5ad403752_T116,0,CVRTDataModule,117,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3794692,0.524,25710876.0,26476544.0
4,59870cc4-1414-469c-9097-c0412ead940f,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/de15674e-76d0-47ed-9b83-41e5ad403752_T116,0,CVRTDataModule,118,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3787031,0.632,25710876.0,26476544.0
5,59870cc4-1414-469c-9097-c0412ead940f,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/de15674e-76d0-47ed-9b83-41e5ad403752_T116,0,CVRTDataModule,119,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3778034,0.619,25710876.0,26476544.0
6,59870cc4-1414-469c-9097-c0412ead940f,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/de15674e-76d0-47ed-9b83-41e5ad403752_T116,0,CVRTDataModule,120,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3851672,0.341,25710876.0,26476544.0
7,59870cc4-1414-469c-9097-c0412ead940f,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/de15674e-76d0-47ed-9b83-41e5ad403752_T116,0,CVRTDataModule,115,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3819382,0.484,25710876.0,26476544.0
8,59870cc4-1414-469c-9097-c0412ead940f,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/de15674e-76d0-47ed-9b83-41e5ad403752_T116,0,CVRTDataModule,116,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3864061,0.259,25710876.0,26476544.0
9,59870cc4-1414-469c-9097-c0412ead940f,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/Resnet50_SimCLR/Mask_Training/de15674e-76d0-47ed-9b83-41e5ad403752_T116,0,CVRTDataModule,117,,,,,resnet50,64,0.01,0.05,"['stage_3', 'stage_4']",test,1.3808202,0.496,25710876.0,26476544.0
