,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,4347689b-29c8-4153-aaba-f750816b35bf,1,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,0.27000001072883606,1.3860951662063599,10.0,False,vit,32,0.01,-1,None,,,,,
1,4347689b-29c8-4153-aaba-f750816b35bf,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,,,,,vit,32,0.01,-1,None,validate,1.3860754,0.26953125,0.0,0.0
2,e3be6d0e-2b95-4ceb-8df5-9266b9d56c21,1,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,0.2879999876022339,1.385113000869751,15.0,False,vit,64,0.01,-1,None,,,,,
3,e3be6d0e-2b95-4ceb-8df5-9266b9d56c21,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,,,,,vit,64,0.01,-1,None,validate,1.3849998,0.2875601,0.0,0.0
4,4ae9f822-e5c8-4230-831e-a7f1e44ba079,1,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,0.27000001072883606,1.3822081089019775,85.0,False,vit,32,0.001,-1,None,,,,,
5,4ae9f822-e5c8-4230-831e-a7f1e44ba079,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,,,,,vit,32,0.001,-1,None,validate,1.3821783,0.26953125,0.0,0.0
6,3133b030-5a91-4dbb-9c72-982d9c15c096,1,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,0.2680000066757202,1.3862749338150024,41.0,False,vit,64,0.001,-1,None,,,,,
7,3133b030-5a91-4dbb-9c72-982d9c15c096,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,,,,,vit,64,0.001,-1,None,validate,1.3862714,0.265625,0.0,0.0
8,c9638ed9-5a7c-4bc3-9c90-b7e44ac3479e,1,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,0.3199999928474426,1.3702164888381958,88.0,False,vit,32,0.0001,-1,None,,,,,
9,c9638ed9-5a7c-4bc3-9c90-b7e44ac3479e,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,,,,,vit,32,0.0001,-1,None,validate,1.3696703,0.3171875,0.0,0.0
10,79076c7e-eaca-42e6-9016-2c37b2131014,1,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,0.49000000953674316,1.1315186023712158,75.0,False,vit,64,0.0001,-1,None,,,,,
11,79076c7e-eaca-42e6-9016-2c37b2131014,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,,,,,vit,64,0.0001,-1,None,validate,1.1287851,0.49113584,0.0,0.0
12,8d6448c0-2a0d-4fcf-af96-a66faa6cd184,1,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,0.8479999899864197,0.5219343304634094,8.0,False,vit,32,1e-05,-1,None,,,,,
13,8d6448c0-2a0d-4fcf-af96-a66faa6cd184,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,,,,,vit,32,1e-05,-1,None,validate,0.5160202,0.8492187,0.0,0.0
14,e4ceffaf-9029-4d46-9f41-fbab425eded2,1,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,0.8299999833106995,0.5266821384429932,10.0,False,vit,64,1e-05,-1,None,,,,,
15,e4ceffaf-9029-4d46-9f41-fbab425eded2,0,115,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/ViT/Model_Hyperparameters,CNN,0,CVRTDataModule,115,,,,,vit,64,1e-05,-1,None,validate,0.5238156,0.83128005,0.0,0.0
