,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,0f69d10d-bd18-4804-b57b-966a656e2708,1,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_-0.05_1stage,0,CVRTDataModule,116,0.9940000176429749,1.356762170791626,49.0,True,wideresnet50,64,0.01,-0.05,['stage_4'],,,,,
1,0f69d10d-bd18-4804-b57b-966a656e2708,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_-0.05_1stage,0,CVRTDataModule,115,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,0.67624384,0.952,45780670.0,46399490.0
2,0f69d10d-bd18-4804-b57b-966a656e2708,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_-0.05_1stage,0,CVRTDataModule,116,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,1.3610926,0.492,45780670.0,46399490.0
3,0f69d10d-bd18-4804-b57b-966a656e2708,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_-0.05_1stage,0,CVRTDataModule,117,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,1.2385751,0.504,45780670.0,46399490.0
4,0f69d10d-bd18-4804-b57b-966a656e2708,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_-0.05_1stage,0,CVRTDataModule,118,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,0.5871919,0.964,45780670.0,46399490.0
5,0f69d10d-bd18-4804-b57b-966a656e2708,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_-0.05_1stage,0,CVRTDataModule,119,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,0.69200635,0.968,45780670.0,46399490.0
6,0f69d10d-bd18-4804-b57b-966a656e2708,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_-0.05_1stage,0,CVRTDataModule,120,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,0.7762253,0.962,45780670.0,46399490.0
7,0f69d10d-bd18-4804-b57b-966a656e2708,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_-0.05_1stage,0,CVRTDataModule,115,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,0.6809782,0.952,45780670.0,46399490.0
8,0f69d10d-bd18-4804-b57b-966a656e2708,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_-0.05_1stage,0,CVRTDataModule,116,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,1.3616285,0.492,45780670.0,46399490.0
9,0f69d10d-bd18-4804-b57b-966a656e2708,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_-0.05_1stage,0,CVRTDataModule,117,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,1.2370148,0.502,45780670.0,46399490.0
