,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,813fa717-fe5f-428f-b53e-92e56a172219,1,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/40892c97-5848-46cc-9cca-878a47792f3a/116/T116_0.1_2stage,0,CVRTDataModule,116,0.9959999918937683,1.2677619457244873,41.0,True,wideresnet50,64,0.01,0.1,"['stage_3', 'stage_4']",,,,,
1,813fa717-fe5f-428f-b53e-92e56a172219,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/40892c97-5848-46cc-9cca-878a47792f3a/116/T116_0.1_2stage,0,CVRTDataModule,115,,,,,wideresnet50,64,0.01,0.1,"['stage_3', 'stage_4']",validate,0.8436494,0.854,66224090.0,67108864.0
2,813fa717-fe5f-428f-b53e-92e56a172219,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/40892c97-5848-46cc-9cca-878a47792f3a/116/T116_0.1_2stage,0,CVRTDataModule,116,,,,,wideresnet50,64,0.01,0.1,"['stage_3', 'stage_4']",validate,1.5499883,0.238,66224090.0,67108864.0
3,813fa717-fe5f-428f-b53e-92e56a172219,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/40892c97-5848-46cc-9cca-878a47792f3a/116/T116_0.1_2stage,0,CVRTDataModule,117,,,,,wideresnet50,64,0.01,0.1,"['stage_3', 'stage_4']",validate,1.3451039,0.496,66224090.0,67108864.0
4,813fa717-fe5f-428f-b53e-92e56a172219,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/40892c97-5848-46cc-9cca-878a47792f3a/116/T116_0.1_2stage,0,CVRTDataModule,118,,,,,wideresnet50,64,0.01,0.1,"['stage_3', 'stage_4']",validate,0.91903293,0.822,66224090.0,67108864.0
5,813fa717-fe5f-428f-b53e-92e56a172219,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/40892c97-5848-46cc-9cca-878a47792f3a/116/T116_0.1_2stage,0,CVRTDataModule,119,,,,,wideresnet50,64,0.01,0.1,"['stage_3', 'stage_4']",validate,0.75083095,0.92,66224090.0,67108864.0
6,813fa717-fe5f-428f-b53e-92e56a172219,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/40892c97-5848-46cc-9cca-878a47792f3a/116/T116_0.1_2stage,0,CVRTDataModule,120,,,,,wideresnet50,64,0.01,0.1,"['stage_3', 'stage_4']",validate,0.9046145,0.826,66224090.0,67108864.0
7,813fa717-fe5f-428f-b53e-92e56a172219,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/40892c97-5848-46cc-9cca-878a47792f3a/116/T116_0.1_2stage,0,CVRTDataModule,115,,,,,wideresnet50,64,0.01,0.1,"['stage_3', 'stage_4']",validate,0.8456475,0.854,66224090.0,67108864.0
8,813fa717-fe5f-428f-b53e-92e56a172219,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/40892c97-5848-46cc-9cca-878a47792f3a/116/T116_0.1_2stage,0,CVRTDataModule,116,,,,,wideresnet50,64,0.01,0.1,"['stage_3', 'stage_4']",validate,1.5445002,0.236,66224090.0,67108864.0
9,813fa717-fe5f-428f-b53e-92e56a172219,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/40892c97-5848-46cc-9cca-878a47792f3a/116/T116_0.1_2stage,0,CVRTDataModule,117,,,,,wideresnet50,64,0.01,0.1,"['stage_3', 'stage_4']",validate,1.3395216,0.498,66224090.0,67108864.0
