,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,e30565f1-9641-43b5-b829-ab9445984527,1,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/f4f21ca4-942b-4f6b-9166-26a9bec253a9/116/T116_-0.05_1stage,0,CVRTDataModule,116,0.9940000176429749,0.5618721842765808,89.0,True,wideresnet50,64,0.01,-0.05,['stage_4'],,,,,
1,e30565f1-9641-43b5-b829-ab9445984527,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/f4f21ca4-942b-4f6b-9166-26a9bec253a9/116/T116_-0.05_1stage,0,CVRTDataModule,115,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,1.0283704,0.892,45559870.0,46399490.0
2,e30565f1-9641-43b5-b829-ab9445984527,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/f4f21ca4-942b-4f6b-9166-26a9bec253a9/116/T116_-0.05_1stage,0,CVRTDataModule,116,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,1.4485875,0.294,45559870.0,46399490.0
3,e30565f1-9641-43b5-b829-ab9445984527,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/f4f21ca4-942b-4f6b-9166-26a9bec253a9/116/T116_-0.05_1stage,0,CVRTDataModule,117,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,1.2730964,0.578,45559870.0,46399490.0
4,e30565f1-9641-43b5-b829-ab9445984527,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/f4f21ca4-942b-4f6b-9166-26a9bec253a9/116/T116_-0.05_1stage,0,CVRTDataModule,118,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,1.0109782,0.894,45559870.0,46399490.0
5,e30565f1-9641-43b5-b829-ab9445984527,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/f4f21ca4-942b-4f6b-9166-26a9bec253a9/116/T116_-0.05_1stage,0,CVRTDataModule,119,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,0.8939365,0.94,45559870.0,46399490.0
6,e30565f1-9641-43b5-b829-ab9445984527,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/f4f21ca4-942b-4f6b-9166-26a9bec253a9/116/T116_-0.05_1stage,0,CVRTDataModule,120,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,1.0743743,0.9,45559870.0,46399490.0
7,e30565f1-9641-43b5-b829-ab9445984527,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/f4f21ca4-942b-4f6b-9166-26a9bec253a9/116/T116_-0.05_1stage,0,CVRTDataModule,115,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,1.0267878,0.894,45559870.0,46399490.0
8,e30565f1-9641-43b5-b829-ab9445984527,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/f4f21ca4-942b-4f6b-9166-26a9bec253a9/116/T116_-0.05_1stage,0,CVRTDataModule,116,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,1.4492565,0.296,45559870.0,46399490.0
9,e30565f1-9641-43b5-b829-ab9445984527,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/f4f21ca4-942b-4f6b-9166-26a9bec253a9/116/T116_-0.05_1stage,0,CVRTDataModule,117,,,,,wideresnet50,64,0.01,-0.05,['stage_4'],validate,1.271137,0.58,45559870.0,46399490.0
