,Unnamed: 0,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max,Quality Score,Base Model
19,19,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,1,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,116,0.977999985218048,1.5019500255584717,7.0,True,wideresnet50,64,0.0001,0.1,['stage_4'],,,,,,0.526,389a5942-bab7-489e-b126-7d591795239f
20,20,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,115,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3854979,0.728,34165296.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
21,21,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,116,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3863565,0.254,34165296.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
22,22,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,117,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3851781,0.89,34165296.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
23,23,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,118,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3850476,0.928,34165296.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
24,24,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,119,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3850393,0.92,34165296.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
25,25,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,120,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3862532,0.394,34165296.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
26,26,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,115,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3854479,0.73,34165296.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
27,27,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,116,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3863616,0.254,34165296.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
28,28,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,117,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3851022,0.89,34165296.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
