,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,0673cb39-f4bf-41dc-af6c-d5ebab17a786,1,117,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Training/40892c97-5848-46cc-9cca-878a47792f3a_T117,0,CVRTDataModule,117,1.0,1.2438600063323975,37.0,True,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,
1,0673cb39-f4bf-41dc-af6c-d5ebab17a786,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Training/40892c97-5848-46cc-9cca-878a47792f3a_T117,0,CVRTDataModule,115,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3853093,0.278,70732920.0,71222460.0
2,0673cb39-f4bf-41dc-af6c-d5ebab17a786,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Training/40892c97-5848-46cc-9cca-878a47792f3a_T117,0,CVRTDataModule,116,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3859003,0.247,70732920.0,71222460.0
3,0673cb39-f4bf-41dc-af6c-d5ebab17a786,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Training/40892c97-5848-46cc-9cca-878a47792f3a_T117,0,CVRTDataModule,117,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3832984,0.271,70732920.0,71222460.0
4,0673cb39-f4bf-41dc-af6c-d5ebab17a786,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Training/40892c97-5848-46cc-9cca-878a47792f3a_T117,0,CVRTDataModule,118,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.383196,0.281,70732920.0,71222460.0
5,0673cb39-f4bf-41dc-af6c-d5ebab17a786,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Training/40892c97-5848-46cc-9cca-878a47792f3a_T117,0,CVRTDataModule,119,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3843893,0.279,70732920.0,71222460.0
6,0673cb39-f4bf-41dc-af6c-d5ebab17a786,0,117,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Training/40892c97-5848-46cc-9cca-878a47792f3a_T117,0,CVRTDataModule,120,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3874061,0.241,70732920.0,71222460.0
7,0673cb39-f4bf-41dc-af6c-d5ebab17a786,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Training/40892c97-5848-46cc-9cca-878a47792f3a_T117,0,CVRTDataModule,115,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3821312,0.317,70732920.0,71222460.0
8,0673cb39-f4bf-41dc-af6c-d5ebab17a786,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Training/40892c97-5848-46cc-9cca-878a47792f3a_T117,0,CVRTDataModule,116,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3859721,0.257,70732920.0,71222460.0
9,0673cb39-f4bf-41dc-af6c-d5ebab17a786,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Training/40892c97-5848-46cc-9cca-878a47792f3a_T117,0,CVRTDataModule,117,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3833497,0.288,70732920.0,71222460.0
10,0673cb39-f4bf-41dc-af6c-d5ebab17a786,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Training/40892c97-5848-46cc-9cca-878a47792f3a_T117,0,CVRTDataModule,118,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3807727,0.306,70732920.0,71222460.0
11,0673cb39-f4bf-41dc-af6c-d5ebab17a786,0,117,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Training/40892c97-5848-46cc-9cca-878a47792f3a_T117,0,CVRTDataModule,119,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3819872,0.298,70732920.0,71222460.0
