,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,1cdd25c8-1c0f-40c5-afaf-181fa769d838,1,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,116,0.7900000214576721,1.111491322517395,90.0,True,wideresnet50,64,0.0001,0.1,['stage_4'],,,,,
1,1cdd25c8-1c0f-40c5-afaf-181fa769d838,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,115,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],test,1.3863152,0.235,11562456.0,46399490.0
2,1cdd25c8-1c0f-40c5-afaf-181fa769d838,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,116,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],test,1.3862685,0.256,11562456.0,46399490.0
3,1cdd25c8-1c0f-40c5-afaf-181fa769d838,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,117,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],test,1.3863031,0.248,11562456.0,46399490.0
4,1cdd25c8-1c0f-40c5-afaf-181fa769d838,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,118,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],test,1.3863374,0.252,11562456.0,46399490.0
5,1cdd25c8-1c0f-40c5-afaf-181fa769d838,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,119,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],test,1.3862318,0.267,11562456.0,46399490.0
6,1cdd25c8-1c0f-40c5-afaf-181fa769d838,0,116,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,120,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],test,1.3861843,0.263,11562456.0,46399490.0
7,1cdd25c8-1c0f-40c5-afaf-181fa769d838,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,115,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],test,1.386335,0.221,11562456.0,46399490.0
8,1cdd25c8-1c0f-40c5-afaf-181fa769d838,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,116,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],test,1.3863062,0.242,11562456.0,46399490.0
9,1cdd25c8-1c0f-40c5-afaf-181fa769d838,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,117,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],test,1.386337,0.241,11562456.0,46399490.0
10,1cdd25c8-1c0f-40c5-afaf-181fa769d838,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,118,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],test,1.3862936,0.227,11562456.0,46399490.0
11,1cdd25c8-1c0f-40c5-afaf-181fa769d838,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,119,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],test,1.3863223,0.225,11562456.0,46399490.0
12,1cdd25c8-1c0f-40c5-afaf-181fa769d838,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Random_Training/f4f21ca4-942b-4f6b-9166-26a9bec253a9_T116,0,CVRTDataModule,120,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],test,1.3863225,0.235,11562456.0,46399490.0
