,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,f502cca4-4f4b-496a-9f14-46e16bacb116,1,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,104,1.0,1.3905876874923706,22.0,True,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,
1,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3957351,0.188,27437996.0,27911360.0
2,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3992044,0.214,27437996.0,27911360.0
3,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3931123,0.238,27437996.0,27911360.0
4,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,106,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4042988,0.18,27437996.0,27911360.0
5,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,107,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4010458,0.202,27437996.0,27911360.0
6,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,108,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3915247,0.25,27437996.0,27911360.0
7,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4086167,0.202,27437996.0,27911360.0
8,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4173915,0.136,27437996.0,27911360.0
9,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.399343,0.25,27437996.0,27911360.0
10,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,106,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4215461,0.128,27437996.0,27911360.0
11,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,107,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4044961,0.192,27437996.0,27911360.0
12,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,108,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3915652,0.238,27437996.0,27911360.0
13,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3860047,0.74,473364.0,27911360.0
14,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.385854,1.0,473364.0,27911360.0
15,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3862766,0.34,473364.0,27911360.0
16,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,106,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3858328,1.0,473364.0,27911360.0
17,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,107,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3858945,1.0,473364.0,27911360.0
18,f502cca4-4f4b-496a-9f14-46e16bacb116,0,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,108,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3862956,0.184,473364.0,27911360.0
19,14977b97-a67f-416a-acbb-859973c4e817,1,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,104,0.2280000001192093,1.3864002227783203,1.0,True,resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,
20,14977b97-a67f-416a-acbb-859973c4e817,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,0.2866441,1.0,27900806.0,27911360.0
21,14977b97-a67f-416a-acbb-859973c4e817,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/104/T104_-0.05_5stage,0,CVRTDataModule,104,,,,,resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.7083398,0.188,27900806.0,27911360.0
