,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,b34912e5-a228-4652-988d-be2d75ae679f,1,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,104,1.0,1.3790148496627808,50.0,True,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",,,,,
1,b34912e5-a228-4652-988d-be2d75ae679f,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",validate,0.6264249,0.674,26356384.0,26476544.0
2,b34912e5-a228-4652-988d-be2d75ae679f,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",validate,0.14411947,0.962,26356384.0,26476544.0
3,b34912e5-a228-4652-988d-be2d75ae679f,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",validate,2.1595159,0.214,26356384.0,26476544.0
4,b34912e5-a228-4652-988d-be2d75ae679f,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,106,,,,,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",validate,0.18294549,0.952,26356384.0,26476544.0
5,b34912e5-a228-4652-988d-be2d75ae679f,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,107,,,,,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",validate,0.18276657,0.966,26356384.0,26476544.0
6,b34912e5-a228-4652-988d-be2d75ae679f,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,108,,,,,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",validate,1.5867102,0.144,26356384.0,26476544.0
7,b34912e5-a228-4652-988d-be2d75ae679f,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",validate,0.63623047,0.672,26356384.0,26476544.0
8,b34912e5-a228-4652-988d-be2d75ae679f,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",validate,0.150828,0.962,26356384.0,26476544.0
9,b34912e5-a228-4652-988d-be2d75ae679f,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",validate,2.135683,0.226,26356384.0,26476544.0
10,b34912e5-a228-4652-988d-be2d75ae679f,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,106,,,,,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",validate,0.19391641,0.95,26356384.0,26476544.0
11,b34912e5-a228-4652-988d-be2d75ae679f,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,107,,,,,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",validate,0.1940347,0.96,26356384.0,26476544.0
12,b34912e5-a228-4652-988d-be2d75ae679f,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Parameters/b80c24dc-266d-4c4d-9967-ee59215ca185/104/T104_-0.05_2stage,0,CVRTDataModule,108,,,,,resnet50,64,0.01,-0.05,"['stage_3', 'stage_4']",validate,1.589076,0.15,26356384.0,26476544.0
