,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,1432179d-1779-4c59-9c2e-6e6dc59cee61,1,105,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Training/2b96162d-4c11-4eaa-822c-c0075d8337fb_T105,0,CVRTDataModule,105,0.9940000176429749,1.3129045963287354,35.0,True,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",,,,,
1,1432179d-1779-4c59-9c2e-6e6dc59cee61,0,105,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Training/2b96162d-4c11-4eaa-822c-c0075d8337fb_T105,0,CVRTDataModule,103,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3563762,0.463,25210176.0,26476544.0
2,1432179d-1779-4c59-9c2e-6e6dc59cee61,0,105,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Training/2b96162d-4c11-4eaa-822c-c0075d8337fb_T105,0,CVRTDataModule,104,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3305142,0.577,25210176.0,26476544.0
3,1432179d-1779-4c59-9c2e-6e6dc59cee61,0,105,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Training/2b96162d-4c11-4eaa-822c-c0075d8337fb_T105,0,CVRTDataModule,105,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3752048,0.294,25210176.0,26476544.0
4,1432179d-1779-4c59-9c2e-6e6dc59cee61,0,105,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Training/2b96162d-4c11-4eaa-822c-c0075d8337fb_T105,0,CVRTDataModule,106,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3424305,0.583,25210176.0,26476544.0
5,1432179d-1779-4c59-9c2e-6e6dc59cee61,0,105,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Training/2b96162d-4c11-4eaa-822c-c0075d8337fb_T105,0,CVRTDataModule,107,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3429384,0.556,25210176.0,26476544.0
6,1432179d-1779-4c59-9c2e-6e6dc59cee61,0,105,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Training/2b96162d-4c11-4eaa-822c-c0075d8337fb_T105,0,CVRTDataModule,108,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3779671,0.312,25210176.0,26476544.0
7,1432179d-1779-4c59-9c2e-6e6dc59cee61,0,105,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Training/2b96162d-4c11-4eaa-822c-c0075d8337fb_T105,0,CVRTDataModule,103,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3518677,0.442,25210176.0,26476544.0
8,1432179d-1779-4c59-9c2e-6e6dc59cee61,0,105,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Training/2b96162d-4c11-4eaa-822c-c0075d8337fb_T105,0,CVRTDataModule,104,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3217478,0.578,25210176.0,26476544.0
9,1432179d-1779-4c59-9c2e-6e6dc59cee61,0,105,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Mask_Training/2b96162d-4c11-4eaa-822c-c0075d8337fb_T105,0,CVRTDataModule,105,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3741713,0.302,25210176.0,26476544.0
