,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,12cfcbb1-e07f-4887-800e-87d3d31898a3,1,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,0.7459999918937683,0.4962122440338135,61.0,False,resnet50,32,0.01,-1,None,,,,,
1,12cfcbb1-e07f-4887-800e-87d3d31898a3,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,,,,,resnet50,32,0.01,-1,None,validate,0.4952076,0.74492186,0.0,0.0
2,77e8c21b-534c-4929-91ec-8fec7d82c314,1,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,0.734000027179718,0.4970991313457489,37.0,False,resnet50,64,0.01,-1,None,,,,,
3,77e8c21b-534c-4929-91ec-8fec7d82c314,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,,,,,resnet50,64,0.01,-1,None,validate,0.49811953,0.73527646,0.0,0.0
4,bdf0185a-697d-49e1-aedb-e1ad5fe3571d,1,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,0.7620000243186951,0.4959813058376312,96.0,False,resnet50,32,0.001,-1,None,,,,,
5,bdf0185a-697d-49e1-aedb-e1ad5fe3571d,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,,,,,resnet50,32,0.001,-1,None,validate,0.49498177,0.76171875,0.0,0.0
6,d4f67731-1ff8-4b8d-9aa8-f254386056a9,1,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,0.7440000176429749,0.49605420231819153,86.0,False,resnet50,64,0.001,-1,None,,,,,
7,d4f67731-1ff8-4b8d-9aa8-f254386056a9,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,,,,,resnet50,64,0.001,-1,None,validate,0.49709618,0.7441406,0.0,0.0
8,288c2a07-b96d-4468-9a56-39110c7cbaaa,1,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,1.0,0.05619385093450546,99.0,False,resnet50,32,0.0001,-1,None,,,,,
9,288c2a07-b96d-4468-9a56-39110c7cbaaa,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,,,,,resnet50,32,0.0001,-1,None,validate,0.05613091,1.0,0.0,0.0
10,c2f29787-4a4c-494a-892e-802046806def,1,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,0.777999997138977,0.4959642291069031,95.0,False,resnet50,64,0.0001,-1,None,,,,,
11,c2f29787-4a4c-494a-892e-802046806def,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,,,,,resnet50,64,0.0001,-1,None,validate,0.49701077,0.77734375,0.0,0.0
12,97c63d7a-5610-436a-a96c-64c30d99fa53,1,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,0.5920000076293945,0.9653269052505493,57.0,False,resnet50,32,1e-05,-1,None,,,,,
13,97c63d7a-5610-436a-a96c-64c30d99fa53,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,,,,,resnet50,32,1e-05,-1,None,validate,0.9647457,0.59335935,0.0,0.0
14,9bb7ac01-1dcd-4e1e-841a-6b1d350321ea,1,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,0.5260000228881836,1.0376836061477661,15.0,False,resnet50,64,1e-05,-1,None,,,,,
15,9bb7ac01-1dcd-4e1e-841a-6b1d350321ea,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Model_Hyperparameters,0,CVRTDataModule,103,,,,,resnet50,64,1e-05,-1,None,validate,1.0386539,0.5253906,0.0,0.0
