,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,807f5d0e-a01e-4ed0-a11b-e7f9b1f6a6ed,1,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_-0.05_5stage,0,CVRTDataModule,103,0.9980000257492065,1.345618724822998,36.0,True,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,
1,807f5d0e-a01e-4ed0-a11b-e7f9b1f6a6ed,0,103,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_-0.05_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4259963,0.214,26751306.0,27911360.0
2,807f5d0e-a01e-4ed0-a11b-e7f9b1f6a6ed,0,103,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_-0.05_5stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4312241,0.18,26751306.0,27911360.0
3,807f5d0e-a01e-4ed0-a11b-e7f9b1f6a6ed,0,103,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_-0.05_5stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4150921,0.224,26751306.0,27911360.0
4,807f5d0e-a01e-4ed0-a11b-e7f9b1f6a6ed,0,103,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_-0.05_5stage,0,CVRTDataModule,106,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4358436,0.186,26751306.0,27911360.0
5,807f5d0e-a01e-4ed0-a11b-e7f9b1f6a6ed,0,103,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_-0.05_5stage,0,CVRTDataModule,107,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4296889,0.172,26751306.0,27911360.0
6,807f5d0e-a01e-4ed0-a11b-e7f9b1f6a6ed,0,103,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_-0.05_5stage,0,CVRTDataModule,108,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4050703,0.23,26751306.0,27911360.0
7,807f5d0e-a01e-4ed0-a11b-e7f9b1f6a6ed,0,103,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_-0.05_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4149706,0.23,26751306.0,27911360.0
8,807f5d0e-a01e-4ed0-a11b-e7f9b1f6a6ed,0,103,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_-0.05_5stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.425237,0.212,26751306.0,27911360.0
9,807f5d0e-a01e-4ed0-a11b-e7f9b1f6a6ed,0,103,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_-0.05_5stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4114819,0.262,26751306.0,27911360.0
