,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,82ac2497-1fdd-4524-b858-0495bafddf29,1,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,103,1.0,1.3908098936080933,41.0,True,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,
1,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4428748,0.244,26667541.0,27911360.0
2,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4557519,0.24,26667541.0,27911360.0
3,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4789568,0.218,26667541.0,27911360.0
4,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,106,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4199178,0.266,26667541.0,27911360.0
5,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,107,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4542236,0.22,26667541.0,27911360.0
6,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,108,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4450547,0.25,26667541.0,27911360.0
7,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4135451,0.284,26667541.0,27911360.0
8,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4122345,0.284,26667541.0,27911360.0
9,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4725763,0.238,26667541.0,27911360.0
10,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,106,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.391415,0.284,26667541.0,27911360.0
11,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,107,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4623038,0.232,26667541.0,27911360.0
12,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,108,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4493002,0.24,26667541.0,27911360.0
13,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3783718,1.0,1243819.0,27911360.0
14,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3859818,0.306,1243819.0,27911360.0
15,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3864208,0.25,1243819.0,27911360.0
16,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,106,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3774846,1.0,1243819.0,27911360.0
17,82ac2497-1fdd-4524-b858-0495bafddf29,0,103,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50/Pruning_Parameters/2b96162d-4c11-4eaa-822c-c0075d8337fb/103/T103_0.0_5stage,0,CVRTDataModule,107,,,,,resnet50,64,0.01,0.0,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3784032,0.998,1243819.0,27911360.0
