,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,6bd608d9-1919-4364-aaf0-6170ca8ec307,1,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,104,0.9980000257492065,1.2909343242645264,36.0,True,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,
1,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3862854,0.306,27267516.0,27911360.0
2,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3862727,0.372,27267516.0,27911360.0
3,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3862897,0.262,27267516.0,27911360.0
4,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,106,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3862747,0.364,27267516.0,27911360.0
5,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,107,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.38628,0.294,27267516.0,27911360.0
6,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,108,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3863052,0.188,27267516.0,27911360.0
7,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.386274,0.296,27267516.0,27911360.0
8,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3862652,0.43,27267516.0,27911360.0
9,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3862927,0.274,27267516.0,27911360.0
10,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,106,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3862659,0.408,27267516.0,27911360.0
11,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,107,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3862823,0.354,27267516.0,27911360.0
12,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,108,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3862957,0.26,27267516.0,27911360.0
13,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,103,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3169814,0.744,643848.0,27911360.0
14,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,104,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.284496,0.998,643848.0,27911360.0
15,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,105,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.3875071,0.254,643848.0,27911360.0
16,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,106,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.2839553,0.998,643848.0,27911360.0
17,6bd608d9-1919-4364-aaf0-6170ca8ec307,0,104,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/Resnet50_SimCLR/Mask_Parameters/081d4fc7-4ba4-401e-8263-48a5bb51c1a2/104/T104_0.05_5stage,0,CVRTDataModule,107,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.2841511,1.0,643848.0,27911360.0
