,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,895c66c4-f6ba-4127-87ac-7f307ce31ec8,1,105,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/WideResnet50/Mask_Parameters/2a63c4d0-5008-45dc-a87c-4409561b6420/105/T105_0.05_5stage,0,CVRTDataModule,105,1.0,1.3976854085922241,34.0,True,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,
1,895c66c4-f6ba-4127-87ac-7f307ce31ec8,0,105,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/WideResnet50/Mask_Parameters/2a63c4d0-5008-45dc-a87c-4409561b6420/105/T105_0.05_5stage,0,CVRTDataModule,103,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.473604,0.258,70015140.0,71222460.0
2,895c66c4-f6ba-4127-87ac-7f307ce31ec8,0,105,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/WideResnet50/Mask_Parameters/2a63c4d0-5008-45dc-a87c-4409561b6420/105/T105_0.05_5stage,0,CVRTDataModule,104,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4421513,0.284,70015140.0,71222460.0
3,895c66c4-f6ba-4127-87ac-7f307ce31ec8,0,105,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/WideResnet50/Mask_Parameters/2a63c4d0-5008-45dc-a87c-4409561b6420/105/T105_0.05_5stage,0,CVRTDataModule,105,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.5033005,0.25,70015140.0,71222460.0
4,895c66c4-f6ba-4127-87ac-7f307ce31ec8,0,105,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/WideResnet50/Mask_Parameters/2a63c4d0-5008-45dc-a87c-4409561b6420/105/T105_0.05_5stage,0,CVRTDataModule,106,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4476995,0.302,70015140.0,71222460.0
5,895c66c4-f6ba-4127-87ac-7f307ce31ec8,0,105,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/WideResnet50/Mask_Parameters/2a63c4d0-5008-45dc-a87c-4409561b6420/105/T105_0.05_5stage,0,CVRTDataModule,107,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.5044698,0.262,70015140.0,71222460.0
6,895c66c4-f6ba-4127-87ac-7f307ce31ec8,0,105,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/WideResnet50/Mask_Parameters/2a63c4d0-5008-45dc-a87c-4409561b6420/105/T105_0.05_5stage,0,CVRTDataModule,108,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.5815933,0.226,70015140.0,71222460.0
7,895c66c4-f6ba-4127-87ac-7f307ce31ec8,0,105,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/WideResnet50/Mask_Parameters/2a63c4d0-5008-45dc-a87c-4409561b6420/105/T105_0.05_5stage,0,CVRTDataModule,103,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4710654,0.284,70015140.0,71222460.0
8,895c66c4-f6ba-4127-87ac-7f307ce31ec8,0,105,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/WideResnet50/Mask_Parameters/2a63c4d0-5008-45dc-a87c-4409561b6420/105/T105_0.05_5stage,0,CVRTDataModule,104,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4431101,0.296,70015140.0,71222460.0
9,895c66c4-f6ba-4127-87ac-7f307ce31ec8,0,105,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Contact/WideResnet50/Mask_Parameters/2a63c4d0-5008-45dc-a87c-4409561b6420/105/T105_0.05_5stage,0,CVRTDataModule,105,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4878976,0.268,70015140.0,71222460.0
