,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,8173a9ec-8497-4dc2-aad3-60c5e7c21221,1,111,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/0432d0b8-1719-478c-826c-5b18771f6b91/111/T111_0.0_2stage,0,CVRTDataModule,111,0.8240000009536743,1.0859198570251465,36.0,True,resnet50,64,0.01,0.0,"['stage_3', 'stage_4']",,,,,
1,8173a9ec-8497-4dc2-aad3-60c5e7c21221,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/0432d0b8-1719-478c-826c-5b18771f6b91/111/T111_0.0_2stage,0,CVRTDataModule,109,,,,,resnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.3857433,0.568,23594512.0,26476544.0
2,8173a9ec-8497-4dc2-aad3-60c5e7c21221,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/0432d0b8-1719-478c-826c-5b18771f6b91/111/T111_0.0_2stage,0,CVRTDataModule,110,,,,,resnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.38567,0.448,23594512.0,26476544.0
3,8173a9ec-8497-4dc2-aad3-60c5e7c21221,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/0432d0b8-1719-478c-826c-5b18771f6b91/111/T111_0.0_2stage,0,CVRTDataModule,111,,,,,resnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.3858343,0.4,23594512.0,26476544.0
4,8173a9ec-8497-4dc2-aad3-60c5e7c21221,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/0432d0b8-1719-478c-826c-5b18771f6b91/111/T111_0.0_2stage,0,CVRTDataModule,112,,,,,resnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.3855866,0.614,23594512.0,26476544.0
5,8173a9ec-8497-4dc2-aad3-60c5e7c21221,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/0432d0b8-1719-478c-826c-5b18771f6b91/111/T111_0.0_2stage,0,CVRTDataModule,113,,,,,resnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.385767,0.586,23594512.0,26476544.0
6,8173a9ec-8497-4dc2-aad3-60c5e7c21221,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/0432d0b8-1719-478c-826c-5b18771f6b91/111/T111_0.0_2stage,0,CVRTDataModule,114,,,,,resnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.385719,0.592,23594512.0,26476544.0
7,8173a9ec-8497-4dc2-aad3-60c5e7c21221,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/0432d0b8-1719-478c-826c-5b18771f6b91/111/T111_0.0_2stage,0,CVRTDataModule,109,,,,,resnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.3856448,0.57,23594512.0,26476544.0
8,8173a9ec-8497-4dc2-aad3-60c5e7c21221,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/0432d0b8-1719-478c-826c-5b18771f6b91/111/T111_0.0_2stage,0,CVRTDataModule,110,,,,,resnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.3855996,0.42,23594512.0,26476544.0
9,8173a9ec-8497-4dc2-aad3-60c5e7c21221,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/0432d0b8-1719-478c-826c-5b18771f6b91/111/T111_0.0_2stage,0,CVRTDataModule,111,,,,,resnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.3857312,0.408,23594512.0,26476544.0
10,8173a9ec-8497-4dc2-aad3-60c5e7c21221,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/0432d0b8-1719-478c-826c-5b18771f6b91/111/T111_0.0_2stage,0,CVRTDataModule,112,,,,,resnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.3854811,0.616,23594512.0,26476544.0
11,8173a9ec-8497-4dc2-aad3-60c5e7c21221,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Parameters/0432d0b8-1719-478c-826c-5b18771f6b91/111/T111_0.0_2stage,0,CVRTDataModule,113,,,,,resnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.3856318,0.594,23594512.0,26476544.0
