,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,6ca13153-dbed-4418-b399-ad3d77c5e636,1,111,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/0432d0b8-1719-478c-826c-5b18771f6b91_T111,0,CVRTDataModule,111,1.0,0.20962849259376526,64.0,True,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",,,,,
1,6ca13153-dbed-4418-b399-ad3d77c5e636,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/0432d0b8-1719-478c-826c-5b18771f6b91_T111,0,CVRTDataModule,109,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3844378,0.465,23285712.0,26476544.0
2,6ca13153-dbed-4418-b399-ad3d77c5e636,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/0432d0b8-1719-478c-826c-5b18771f6b91_T111,0,CVRTDataModule,110,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3836454,0.484,23285712.0,26476544.0
3,6ca13153-dbed-4418-b399-ad3d77c5e636,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/0432d0b8-1719-478c-826c-5b18771f6b91_T111,0,CVRTDataModule,111,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3856217,0.3,23285712.0,26476544.0
4,6ca13153-dbed-4418-b399-ad3d77c5e636,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/0432d0b8-1719-478c-826c-5b18771f6b91_T111,0,CVRTDataModule,112,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3843528,0.467,23285712.0,26476544.0
5,6ca13153-dbed-4418-b399-ad3d77c5e636,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/0432d0b8-1719-478c-826c-5b18771f6b91_T111,0,CVRTDataModule,113,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3855999,0.348,23285712.0,26476544.0
6,6ca13153-dbed-4418-b399-ad3d77c5e636,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/0432d0b8-1719-478c-826c-5b18771f6b91_T111,0,CVRTDataModule,114,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3835034,0.568,23285712.0,26476544.0
7,6ca13153-dbed-4418-b399-ad3d77c5e636,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/0432d0b8-1719-478c-826c-5b18771f6b91_T111,0,CVRTDataModule,109,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3842034,0.471,23285712.0,26476544.0
8,6ca13153-dbed-4418-b399-ad3d77c5e636,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/0432d0b8-1719-478c-826c-5b18771f6b91_T111,0,CVRTDataModule,110,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3832897,0.485,23285712.0,26476544.0
9,6ca13153-dbed-4418-b399-ad3d77c5e636,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/0432d0b8-1719-478c-826c-5b18771f6b91_T111,0,CVRTDataModule,111,,,,,resnet50,64,0.01,0.1,"['stage_3', 'stage_4']",test,1.3855774,0.289,23285712.0,26476544.0
