,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,11568910-74cc-4e09-99a7-810dde13e7ee,1,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/883cd15e-cf44-43bd-8fe9-56a91090aef7_T110,0,CVRTDataModule,110,0.9980000257492065,1.4364176988601685,90.0,True,resnet50,64,0.0001,0.05,['stage_4'],,,,,
1,11568910-74cc-4e09-99a7-810dde13e7ee,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/883cd15e-cf44-43bd-8fe9-56a91090aef7_T110,0,CVRTDataModule,109,,,,,resnet50,64,0.0001,0.05,['stage_4'],test,1.3849719,0.62,14143341.0,19398656.0
2,11568910-74cc-4e09-99a7-810dde13e7ee,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/883cd15e-cf44-43bd-8fe9-56a91090aef7_T110,0,CVRTDataModule,110,,,,,resnet50,64,0.0001,0.05,['stage_4'],test,1.3866037,0.251,14143341.0,19398656.0
3,11568910-74cc-4e09-99a7-810dde13e7ee,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/883cd15e-cf44-43bd-8fe9-56a91090aef7_T110,0,CVRTDataModule,111,,,,,resnet50,64,0.0001,0.05,['stage_4'],test,1.3852642,0.47,14143341.0,19398656.0
4,11568910-74cc-4e09-99a7-810dde13e7ee,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/883cd15e-cf44-43bd-8fe9-56a91090aef7_T110,0,CVRTDataModule,112,,,,,resnet50,64,0.0001,0.05,['stage_4'],test,1.3852863,0.578,14143341.0,19398656.0
5,11568910-74cc-4e09-99a7-810dde13e7ee,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/883cd15e-cf44-43bd-8fe9-56a91090aef7_T110,0,CVRTDataModule,113,,,,,resnet50,64,0.0001,0.05,['stage_4'],test,1.3841848,0.701,14143341.0,19398656.0
6,11568910-74cc-4e09-99a7-810dde13e7ee,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/883cd15e-cf44-43bd-8fe9-56a91090aef7_T110,0,CVRTDataModule,114,,,,,resnet50,64,0.0001,0.05,['stage_4'],test,1.3857616,0.528,14143341.0,19398656.0
7,11568910-74cc-4e09-99a7-810dde13e7ee,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/883cd15e-cf44-43bd-8fe9-56a91090aef7_T110,0,CVRTDataModule,109,,,,,resnet50,64,0.0001,0.05,['stage_4'],test,1.3849646,0.614,14143341.0,19398656.0
8,11568910-74cc-4e09-99a7-810dde13e7ee,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/883cd15e-cf44-43bd-8fe9-56a91090aef7_T110,0,CVRTDataModule,110,,,,,resnet50,64,0.0001,0.05,['stage_4'],test,1.3866023,0.249,14143341.0,19398656.0
9,11568910-74cc-4e09-99a7-810dde13e7ee,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50/Mask_Training/883cd15e-cf44-43bd-8fe9-56a91090aef7_T110,0,CVRTDataModule,111,,,,,resnet50,64,0.0001,0.05,['stage_4'],test,1.3852476,0.47,14143341.0,19398656.0
