,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,32e35eef-8e57-4c6f-ba0f-8261529f8149,1,111,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,111,0.9959999918937683,0.5012026429176331,90.0,True,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,
1,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,109,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3862934,0.253,13032966.0,27911360.0
2,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,110,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.386292,0.247,13032966.0,27911360.0
3,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,111,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3862945,0.236,13032966.0,27911360.0
4,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,112,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3862925,0.282,13032966.0,27911360.0
5,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,113,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3862983,0.224,13032966.0,27911360.0
6,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,114,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3862953,0.255,13032966.0,27911360.0
7,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,109,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3862926,0.26,13032966.0,27911360.0
8,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,110,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3862939,0.256,13032966.0,27911360.0
9,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,111,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3862946,0.253,13032966.0,27911360.0
10,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,112,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3862934,0.252,13032966.0,27911360.0
11,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,113,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3862962,0.225,13032966.0,27911360.0
12,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,114,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.386293,0.241,13032966.0,27911360.0
13,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,109,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,0.58021873,0.958,14878394.0,27911360.0
14,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,110,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.9026891,0.272,14878394.0,27911360.0
15,32e35eef-8e57-4c6f-ba0f-8261529f8149,0,111,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Training/6fc9b793-9128-4cf7-a3c5-921d97c1be45_T111,0,CVRTDataModule,111,,,,,resnet50,64,0.0001,0.1,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,0.35278133,0.994,14878394.0,27911360.0
