,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,2955c023-4a32-4bfc-b60b-405a042a75bc,1,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/a6914c5a-fa03-47d5-b3be-a51ba1d2b6fa/110/T110_0.0_2stage,0,CVRTDataModule,110,0.9940000176429749,1.0281132459640503,90.0,True,wideresnet50,64,0.01,0.0,"['stage_3', 'stage_4']",,,,,
1,2955c023-4a32-4bfc-b60b-405a042a75bc,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/a6914c5a-fa03-47d5-b3be-a51ba1d2b6fa/110/T110_0.0_2stage,0,CVRTDataModule,109,,,,,wideresnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.1338321,0.966,66575212.0,67108864.0
2,2955c023-4a32-4bfc-b60b-405a042a75bc,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/a6914c5a-fa03-47d5-b3be-a51ba1d2b6fa/110/T110_0.0_2stage,0,CVRTDataModule,110,,,,,wideresnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.3894712,0.292,66575212.0,67108864.0
3,2955c023-4a32-4bfc-b60b-405a042a75bc,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/a6914c5a-fa03-47d5-b3be-a51ba1d2b6fa/110/T110_0.0_2stage,0,CVRTDataModule,111,,,,,wideresnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.3615876,0.366,66575212.0,67108864.0
4,2955c023-4a32-4bfc-b60b-405a042a75bc,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/a6914c5a-fa03-47d5-b3be-a51ba1d2b6fa/110/T110_0.0_2stage,0,CVRTDataModule,112,,,,,wideresnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.1797225,0.862,66575212.0,67108864.0
5,2955c023-4a32-4bfc-b60b-405a042a75bc,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/a6914c5a-fa03-47d5-b3be-a51ba1d2b6fa/110/T110_0.0_2stage,0,CVRTDataModule,113,,,,,wideresnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.1186812,1.0,66575212.0,67108864.0
6,2955c023-4a32-4bfc-b60b-405a042a75bc,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/a6914c5a-fa03-47d5-b3be-a51ba1d2b6fa/110/T110_0.0_2stage,0,CVRTDataModule,114,,,,,wideresnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.1237098,1.0,66575212.0,67108864.0
7,2955c023-4a32-4bfc-b60b-405a042a75bc,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/a6914c5a-fa03-47d5-b3be-a51ba1d2b6fa/110/T110_0.0_2stage,0,CVRTDataModule,109,,,,,wideresnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.1319066,0.966,66575212.0,67108864.0
8,2955c023-4a32-4bfc-b60b-405a042a75bc,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/a6914c5a-fa03-47d5-b3be-a51ba1d2b6fa/110/T110_0.0_2stage,0,CVRTDataModule,110,,,,,wideresnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.3895969,0.292,66575212.0,67108864.0
9,2955c023-4a32-4bfc-b60b-405a042a75bc,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/a6914c5a-fa03-47d5-b3be-a51ba1d2b6fa/110/T110_0.0_2stage,0,CVRTDataModule,111,,,,,wideresnet50,64,0.01,0.0,"['stage_3', 'stage_4']",validate,1.3614523,0.366,66575212.0,67108864.0
