,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,1,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,110,0.9980000257492065,0.3410048484802246,90.0,True,wideresnet50,64,0.01,0.05,['stage_4'],,,,,
1,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,109,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.3855962,0.99,44469144.0,46399490.0
2,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,110,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.3863792,0.234,44469144.0,46399490.0
3,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,111,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.3862836,0.378,44469144.0,46399490.0
4,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,112,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.3857937,0.97,44469144.0,46399490.0
5,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,113,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.3854239,1.0,44469144.0,46399490.0
6,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,114,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.3855884,0.998,44469144.0,46399490.0
7,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,109,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.3855658,0.99,44469144.0,46399490.0
8,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,110,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.3863823,0.236,44469144.0,46399490.0
9,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,111,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.3862844,0.378,44469144.0,46399490.0
10,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,112,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.385772,0.97,44469144.0,46399490.0
11,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,113,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.3853867,1.0,44469144.0,46399490.0
12,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,114,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.3855569,0.998,44469144.0,46399490.0
13,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,109,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,0.6538015,0.812,1930346.0,46399490.0
14,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,110,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,0.32170135,0.998,1930346.0,46399490.0
15,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,111,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.8414831,0.218,1930346.0,46399490.0
16,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,112,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,0.37523794,0.996,1930346.0,46399490.0
17,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,113,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,1.3849655,0.434,1930346.0,46399490.0
18,f34e5d01-83c6-4605-b6c2-9e0fbc3dd572,0,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,114,,,,,wideresnet50,64,0.01,0.05,['stage_4'],validate,0.23330384,1.0,1930346.0,46399490.0
19,3d5294df-7aa8-4b80-a74c-2e35b77cba04,1,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,110,0.9980000257492065,1.475576639175415,65.0,True,wideresnet50,64,0.0001,0.05,['stage_4'],,,,,
20,3d5294df-7aa8-4b80-a74c-2e35b77cba04,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,109,,,,,wideresnet50,64,0.0001,0.05,['stage_4'],validate,1.385926,0.648,36073110.0,46399490.0
21,3d5294df-7aa8-4b80-a74c-2e35b77cba04,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,110,,,,,wideresnet50,64,0.0001,0.05,['stage_4'],validate,1.3861499,0.488,36073110.0,46399490.0
22,3d5294df-7aa8-4b80-a74c-2e35b77cba04,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,111,,,,,wideresnet50,64,0.0001,0.05,['stage_4'],validate,1.3862647,0.254,36073110.0,46399490.0
23,3d5294df-7aa8-4b80-a74c-2e35b77cba04,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/aa1753cd-4f3e-406e-9e6f-f98e929d05c5/110/T110_0.05_1stage,0,CVRTDataModule,112,,,,,wideresnet50,64,0.0001,0.05,['stage_4'],validate,1.3860096,0.576,36073110.0,46399490.0
