,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,1,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,110,0.9980000257492065,0.15031126141548157,88.0,True,wideresnet50,64,0.01,0.1,['stage_4'],,,,,
1,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,109,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,0.7427064,0.964,45710330.0,46399490.0
2,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,110,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,1.5909104,0.196,45710330.0,46399490.0
3,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,111,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,1.5382675,0.256,45710330.0,46399490.0
4,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,112,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,0.9113795,0.948,45710330.0,46399490.0
5,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,113,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,0.65459204,0.962,45710330.0,46399490.0
6,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,114,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,0.67323107,0.98,45710330.0,46399490.0
7,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,109,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,0.7351784,0.964,45710330.0,46399490.0
8,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,110,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,1.5952412,0.198,45710330.0,46399490.0
9,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,111,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,1.5419492,0.256,45710330.0,46399490.0
10,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,112,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,0.90515745,0.948,45710330.0,46399490.0
11,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,113,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,0.64635265,0.962,45710330.0,46399490.0
12,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,114,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,0.6648733,0.98,45710330.0,46399490.0
13,6c5b28a9-71d5-4a8c-b70c-aadeff1bbd3e,0,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Parameters/c93c9e01-3235-4d48-8a6a-8de6260c46b6/110/T110_0.1_1stage,0,CVRTDataModule,109,,,,,wideresnet50,64,0.01,0.1,['stage_4'],validate,0.5522576,0.792,689163.0,46399490.0
