,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,f4146649-89a8-4666-9d00-c29b63503392,1,111,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Training/c93c9e01-3235-4d48-8a6a-8de6260c46b6_T111,0,CVRTDataModule,111,0.9879999756813049,0.7159962058067322,89.0,True,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,
1,f4146649-89a8-4666-9d00-c29b63503392,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Training/c93c9e01-3235-4d48-8a6a-8de6260c46b6_T111,0,CVRTDataModule,109,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3860395,0.284,66892180.0,71222460.0
2,f4146649-89a8-4666-9d00-c29b63503392,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Training/c93c9e01-3235-4d48-8a6a-8de6260c46b6_T111,0,CVRTDataModule,110,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3862524,0.226,66892180.0,71222460.0
3,f4146649-89a8-4666-9d00-c29b63503392,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Training/c93c9e01-3235-4d48-8a6a-8de6260c46b6_T111,0,CVRTDataModule,111,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3864036,0.259,66892180.0,71222460.0
4,f4146649-89a8-4666-9d00-c29b63503392,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Training/c93c9e01-3235-4d48-8a6a-8de6260c46b6_T111,0,CVRTDataModule,112,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3861251,0.3,66892180.0,71222460.0
5,f4146649-89a8-4666-9d00-c29b63503392,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Training/c93c9e01-3235-4d48-8a6a-8de6260c46b6_T111,0,CVRTDataModule,113,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3861741,0.274,66892180.0,71222460.0
6,f4146649-89a8-4666-9d00-c29b63503392,0,111,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Training/c93c9e01-3235-4d48-8a6a-8de6260c46b6_T111,0,CVRTDataModule,114,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3860471,0.284,66892180.0,71222460.0
7,f4146649-89a8-4666-9d00-c29b63503392,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Training/c93c9e01-3235-4d48-8a6a-8de6260c46b6_T111,0,CVRTDataModule,109,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3862959,0.269,66892180.0,71222460.0
8,f4146649-89a8-4666-9d00-c29b63503392,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Training/c93c9e01-3235-4d48-8a6a-8de6260c46b6_T111,0,CVRTDataModule,110,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3864189,0.226,66892180.0,71222460.0
9,f4146649-89a8-4666-9d00-c29b63503392,0,111,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/WideResnet50/Mask_Training/c93c9e01-3235-4d48-8a6a-8de6260c46b6_T111,0,CVRTDataModule,111,,,,,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",test,1.3861594,0.273,66892180.0,71222460.0
