,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_loss,2_test_acc,2_test_L0
0,1,1,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,111,0.9919999837875366,25.0,False,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",,,
1,1,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,109,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.3845451,0.6189453,24642400.0
2,1,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,110,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.3863645,0.24394532,24642400.0
3,1,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,111,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.3863164,0.23671874,24642400.0
4,1,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,112,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.3850379,0.5210937,24642400.0
5,1,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,113,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.3844866,0.6371094,24642400.0
6,1,0,111,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,114,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.3840514,0.7367188,24642400.0
7,1,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,109,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.3844118,0.6248047,24642400.0
8,1,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,110,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.3863609,0.2484375,24642400.0
9,1,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,111,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.3863027,0.24121094,24642400.0
10,1,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,112,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.3849347,0.5425781,24642400.0
11,1,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,113,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.3843417,0.6542969,24642400.0
12,1,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,114,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.3838879,0.7484375,24642400.0
13,1,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,109,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.223341,0.77070314,3046558.0
14,1,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,110,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.4341809,0.21699218,3046558.0
15,1,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,111,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.1453751,0.99257815,3046558.0
16,1,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,112,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.1904842,0.98535156,3046558.0
17,1,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model1_T111_-0.05_3stage,CNN,1,CVRTDataModule,113,,,,L0resnet50,64,0.01,-0.05,"['stage_2', 'stage_3', 'stage_4']",1.0945946,0.9980469,3046558.0
